Murder and Assault,Kidnapping and Abduction,Sexual Assault,Theft and Burglary,Riots,Accident Prone Areas
27.20449477275287 77.94723250857042,27.217619528008193 78.00101280290511,27.143104621810817 78.01640108365493,27.208146287949415 77.91730026069462,27.174509278834126 78.00047513483756,27.21888792391301 78.00066923364146
27.16466014936037 78.07513331231377,27.17920584393355 77.9345605692787,27.20233803121188 77.96411202128824,27.211098346509793 77.9809155790096,27.156425169862644 78.07282045501415,27.18034209424752 78.03183324407371
27.222740356203868 77.90541240452632,27.239734840241336 77.9460254871509,27.226545871286834 77.90721806161054,27.181581007198755 78.02795468626775,27.148798466273 78.06386640991101,27.222904443859413 77.92614692421922
27.203264657741524 77.96168700938573,27.14370262412438 78.06802164289714,27.18575992714392 78.04087740879353,27.131080530705358 77.99769690171411,27.14739449591218 77.97115817484831,27.175777269318072 77.97355764279358
27.22788726207739 77.93230467237271,27.11104807242063 78.00449416475386,27.211626511317917 77.95552814689903,27.22721082474837 78.04483602045799,27.122616960691094 77.98628990193899,27.181006364301204 78.01383652143862
27.197022778103978 77.9742044417665,27.19924307664575 78.01365674900273,27.192335594594265 78.03478463912134,27.221588935254932 77.97446176383703,27.211598248911343 77.90884177771464,27.23512363262604 77.94337225483939
27.11570802050676 78.03492687643116,27.155663019179315 77.96932273242244,27.202083802965777 78.02582554793527,27.19188598380413 77.95704955730986,27.20573148439208 78.06013828573234,27.23660750519999 78.03063817329266
27.206576499223196 77.95580946063176,27.152384489022545 78.00379720910429,27.205840832714696 77.96977349372467,27.238395595653984 78.04676053690262,27.16327115002546 78.02242428545786,27.178450734859737 77.95673889943043
27.18339645160157 77.94019545171342,27.160251640657293 78.04625223916172,27.168446646231914 78.0160122115468,27.13210167710302 78.01024874396124,27.156823375769886 77.95412450983908,27.19750946978983 77.97625118679927
27.137230877880896 78.0284559407467,27.231260118538994 77.98147493774441,27.203426331127055 77.98798815615038,27.212957921308732 77.9811626031838,27.14243887696114 78.06622941214972,27.23372720410269 78.05382999702714
27.137630489557797 77.99039615229505,27.217464510932913 77.96477033545274,27.14344804172312 78.02181038277268,27.200556888718648 77.99163535021948,27.194559282395822 78.00598934234715,27.185714696939655 77.96911397700796
27.14659686763352 77.9697351372675,27.214154902386444 78.02445079363602,27.22637785721049 78.01621290338863,27.202093794856758 78.02828007863725,27.203184708309113 77.9824505091337,27.19703342556954 78.03468290122547
27.229677085010344 78.01036486939834,27.202748642274624 78.04608945348238,27.242071001322117 77.94236795491658,27.193472154997835 78.03904929752375,27.221968298042842 77.94862819723238,27.196509004639704 77.92177262532647
27.131568133894792 77.98125558716963,27.12586006910208 78.00429378445142,27.196514601175036 78.0466830927678,27.227595571639498 77.95779658048005,27.21514749009897 77.92756406797118,27.14033443726816 78.01559760672559
27.14555271890492 78.07835511444124,27.230394540359043 77.9587844699611,27.155276815211927 78.04645051007329,27.134174765137686 78.04744026715687,27.176552452002525 78.04638086697288,27.19837832539297 77.96277040523466
27.20979179500039 77.96600113099097,27.14720696147365 78.0688774285343,27.23856834644186 77.98403541920335,27.230063737809886 77.99358907640705,27.16195335910239 78.00620716918755,27.23769319366229 77.96073964325805
27.197405691198654 78.05442100148758,27.184313817248675 77.97066950934592,27.13339882854336 77.98136515879374,27.200522694507892 77.98258179841518,27.210972888911407 77.99115444375309,27.250485985087515 78.02104435149548
27.166504461342114 78.02130433661453,27.213587640953364 77.96970180040358,27.120785322911736 78.03783154009552,27.13993204849802 77.99875326719896,27.171175601655936 77.99041431842876,27.173599100706966 78.05916949396062
27.139437218482392 78.02396913924395,27.172875276943934 77.97914986883127,27.220190351864428 77.93499317088397,27.130203802681663 78.01564932942739,27.192328440582305 78.03043761865918,27.162341916336224 78.03560415915736
27.23137330477475 78.00065029116291,27.176964846759567 78.05216506300359,27.21924902687499 78.05785650859711,27.186928093256686 77.98856573842798,27.194947217560635 78.04538611214245,27.206132216854954 78.03741821188298
27.11709854435995 78.00403748825002,27.13007176642373 78.05485436719268,27.170214692591596 78.03734159668674,27.154065891536494 77.97307352849113,27.162024216134615 78.07113991851665,27.11576117289314 78.02702530367027
27.149912583297475 78.04343141243123,27.22946469851752 78.05495161211506,27.181730742444383 77.98106262857932,27.166908206944562 77.96989266032712,27.209976396188015 78.00692367259425,27.137678638923482 78.03523285762655
27.165444457239666 78.03578500435758,27.23947883927198 77.94221720760348,27.13041904014348 78.0421291086971,27.201068250621027 77.96303657708921,27.231972024649068 77.90169285609856,27.170969387988148 77.96914573991151
27.13315226023753 77.9931008482922,27.208460840819743 77.9841072098775,27.162199113786354 77.96861976023307,27.239283231473866 78.02157493225106,27.176600652629173 78.01029957282293,27.205518522997956 77.9157344251303
27.167130070041477 77.96303188005992,27.21517531891069 78.04430859664978,27.19141352308029 77.95054032449237,27.237314928585572 77.91068828055064,27.138445359234478 78.05228224977608,27.17105909168163 78.0314977396287
27.203949981388792 77.93661676206368,27.17860591855901 78.06375732812889,27.126226697682732 77.9998288888425,27.175310758741503 78.00641658747212,27.202391204481728 77.95754168535443,27.200036801594923 77.93863118216662
27.150589132537164 78.04472353068681,27.13282350565981 78.01137900787928,27.171357142067873 78.00092975896244,27.18884019387966 78.06235037858019,27.185458075844533 78.06886645469946,27.206383189879944 77.91075988034649
27.189169291261635 78.01749586663458,27.184123195166254 77.96197293870685,27.14486321860033 78.03638866182607,27.135242589237972 77.98817352930078,27.17931420889006 78.06845407930602,27.178317270787822 78.01586303124327
27.180877030270853 78.01470311968123,27.227605097222845 77.95276444565415,27.168786533337865 77.99116841846148,27.134444023138204 77.9901762536575,27.201886700861078 77.97643599373478,27.14011937697966 78.00296229215638
27.226324667438163 78.03306908438871,27.21817748054736 77.97262488283522,27.193618511852403 77.99993713620565,27.14149559603367 77.97270419654727,27.12854831402 78.03075790009011,27.192780457975527 77.92947580345312
27.194662549606683 77.94778472570698,27.152368572848317 78.06657444528777,27.137362894302218 77.98282665445782,27.174934492830843 78.00222103880245,27.141491204718363 78.0186490881957,27.162868107639728 78.07098282750182
27.134649890442862 78.01085824914226,27.18961709083962 78.05998237494019,27.176365872142714 78.05751925976293,27.19627325555262 78.00091286193286,27.155358489385335 77.96819646865751,27.159683248433613 78.0322193091659
27.224216286805945 78.00405708638581,,,,27.201222163718818 77.98592488850677,27.206985230546284 78.043889237553
27.16212217657938 78.05053630859963,27.20710402538226 78.04544489823029,27.20898186955385 78.0429291511357,27.242710302125634 78.0044154016182,27.1715049676276 78.0683988534006,27.230214420632528 77.91893052704947
27.236845630586114 77.98055477307975,27.225345635392426 78.00544843681429,27.211255575087122 78.0312294664694,27.13122159010104 77.99859613282617,27.19483845933016 77.94692426992175,27.140304740332045 78.07178386894165
27.21684306427398 78.04727017000098,27.23526686324202 77.96677743323986,27.241382618743263 77.9266106276977,27.22638219479183 78.04683249122454,27.195149135771832 78.03005829420545,27.13049740858936 78.02487754587109
27.230467593753133 77.9432315161254,27.181291814151855 78.0052421988417,27.156757716074086 78.07050704449153,27.20019183212325 77.9838606962655,27.231976212476088 77.901313289008,27.17688331543525 78.06649595580595
27.12911908752742 78.02320269233368,27.219539759130566 77.92253951098029,27.133543028716982 77.99948229911575,27.190382503706928 78.04134462011876,27.23157825743193 78.02864145093244,27.18569725618015 78.06286669670264
27.160892517971323 77.98985696531729,27.210304401589735 78.04209371575655,27.199962805041555 77.91726185161752,27.130221567446515 78.00110417162284,27.19889649417246 77.96340961979199,27.210775469448553 77.99821136694928
27.148750967290365 78.07369696143257,27.22739927736455 78.03226749507142,27.1764174346839 78.03583240308842,27.130982806941542 78.03547219206553,27.13282927966434 78.01207659842991,27.236466771920597 78.04494624693443
27.127402300525688 78.0484522408766,27.106348626493443 78.01800526927676,27.141016951653054 78.06214330284764,27.189230341812472 78.05621590517366,27.188215518999066 77.98968457368686,27.18906683968717 78.00645241292081
27.175066949445014 78.05411234233387,27.167052658172512 78.0472507541987,27.18558692118057 77.95654211449663,27.108360758015266 78.0080276634327,27.236756670593962 77.98445123888337,27.17350320342842 78.0585794453932
27.190564551384682 77.99127099673407,27.1861443443623 77.95754295264986,27.23667918940647 77.90813047200795,27.144932872811495 77.96996017545169,27.144429802864988 78.05781830900477,27.205244261872778 77.91148610822871
27.219518472656453 77.92976241584013,27.19214883210162 78.03877410986657,27.208945685780115 78.02158557112386,27.130483185275523 78.03793368081034,27.1926414083082 78.02902776739916,27.224966815395156 77.96257044326752
27.12872018376313 78.04857391539119,27.23761862845196 77.91428973906949,27.225574364710113 78.0551924113996,27.153402898539746 78.0231936827018,27.201115277468343 78.03988478182809,27.21860262999715 78.01560446463948
27.24092994177937 77.94304373602603,27.163403955881424 78.03733319825477,27.21158576604101 78.03980297337267,27.16985343774535 78.00563293784523,27.15245566365857 77.96335981770068,27.169964749313362 78.02831336486808
27.16582303066448 77.9986899382017,27.152242978547942 78.0499434640772,27.132379215662112 78.0513527642663,27.19920843286658 78.02663478564125,27.214794622373283 77.94332618872593,27.206761842100555 78.01165444931526
27.190680052073134 78.03183281438231,27.133096591464188 78.02467907705892,27.22883121840312 77.97050151705903,27.188217314882504 78.06694522449612,27.227480126895095 78.00053964528172,27.2165460048994 77.91736149363682
27.2053957756697 77.95589999390553,27.22447884953538 78.04906316725032,27.211046843813843 78.00154407998095,27.222845598833715 78.04871692785368,27.231418090595785 78.01689331312264,27.186192928243223 78.0047733540856
27.14814302595136 78.05884328614752,27.20709587504772 78.03713116872443,27.236185977912672 77.9688044359862,27.19535539995356 77.9956500772879,27.18922877331667 77.99466999558763,27.21453546194497 77.95705124297366
27.205998890312443 77.92259858947453,27.21025616419902 78.01314342210502,27.16527311955782 78.01955518977623,27.16926958116395 78.06439635634477,27.141335389123203 78.04164061661419,27.104923566712596 78.01058442600028
27.183480352686 77.95259704475542,27.16211626946975 78.0041889985811,27.230400077720745 77.97134373890312,27.171168295616532 78.05526512031726,27.224885685110475 78.03468044552027,27.175964859798135 78.03347220831593
27.211480555453335 77.946047159162,27.22923269212679 77.98970518556877,27.167952369647885 78.06129817270177,27.22353720581802 77.91598858799982,27.232158187404654 77.97389802049283,27.23690581382293 77.95577794614725
27.17058869304692 78.05781642561719,27.136060646063743 78.05011212352967,27.210766960609433 77.91067554465083,27.12415597591734 78.02975804002146,27.216788045404925 77.97784086765833,27.120544202943346 78.03102290436024
27.194454145051093 77.9541108188413,27.138463208851228 78.06437042627797,27.237940888002115 78.00246406813223,27.203929559258672 78.0084066560783,27.210661613686238 77.92499643879724,27.139771413496558 77.98160373929535
27.122724897060092 77.98814085643386,27.232532276082363 77.8861327915861,27.219268106596942 77.96776714828279,27.204302763524332 77.98245954380184,27.18511895050531 78.03175336428605,27.226784735072858 78.0218422804773
27.17158612153826 78.057135026006,27.206692723265906 78.04740643806826,27.191189049878087 77.97880608460885,27.15177342203471 78.02776188496223,27.16297023366375 78.07359056704337,27.237289102291683 77.94645283289033
27.22669034503614 77.92015424233536,27.198236424677404 78.01211897391482,27.23439507041828 77.91777196788112,27.232079814653584 77.99641501145267,27.196729113025388 78.0412549048867,27.228125561055517 78.05333826481564
27.163295550851622 78.03234313107461,27.213602629605926 77.97858424956213,27.13368691980054 78.03376742494915,27.19602168937106 77.94034179275874,27.162901847174467 77.96368340597886,27.173874266045956 78.02045812621357
27.196253807292155 78.0373771840173,27.104603747889936 78.01700491336307,27.130556994022285 78.00188119700283,27.143147855768277 78.01544635055795,27.209771143748355 78.04995620640675,27.165596787318986 78.05331663359921
27.17837120940279 77.97044995569078,27.21344732418405 77.93525224336696,27.120923693047363 78.01740791443419,27.137331775766512 78.06283811084583,27.203139965467745 78.00381026736719,27.23511044709621 77.96409966787586
27.160033689072613 78.06006048793549,27.224070103571236 77.90275483592484,27.17156968143105 77.9429049903744,27.24991256641625 78.01182774569764,27.205686899207173 78.04346311131482,27.21976622305378 77.89870953316013
27.20076547698673 77.95049124122,27.164223633637732 78.00041451899322,,27.148885719825827 78.01454818769321,27.199586367972824 78.02848293948037,27.166906291800043 77.99203977274752
27.238658331842473 77.94659015590081,27.171797746614146 78.03003792037289,,27.21164137594614 78.05884159142389,27.18357165735293 77.93204633574969,27.17107388940486 78.02237554289582
27.174725766127406 78.00521026081447,27.216065178272597 77.93168905936024,,27.19050890798124 77.959033412435,27.140401996895157 78.01109983632402,27.207607669740337 78.0361056431066
27.19750398024814 78.04405472125478,27.166684016836626 78.04203047220834,,27.234676657427283 77.91134950438857,27.21299231589446 77.92981733678062,27.208417617261542 77.94386483878957
27.15727342342733 77.95851252038379,27.188135046961484 78.05303782847207,,27.185394623719027 77.95034076015409,27.139419553550937 78.0091171285962,27.131574517797343 78.02745563262751
27.224838001127168 78.01449387011131,27.16088396486093 78.03646024559308,,27.168967956655457 78.07213087588279,27.170064176273055 77.98980600318335,27.245313649138232 78.031238926642
27.173342662276944 77.97313525891269,27.17677960094049 77.9973473118686,,27.1472304777696 78.03979010317309,27.148077074023526 78.03737042878771,27.22821024405226 77.96700607739025
27.17182372201431 78.02316364602015,27.218992436068618 77.97613040885813,,27.20683683550368 78.04961721742318,27.2385748194841 77.9614727178293,27.18128186453218 78.06038010680143
27.15767371702035 77.96965909444528,27.20552097817882 77.98955528416799,,27.198429937538187 78.02619550148023,27.186432793360662 78.00744711359859,27.238065827002565 78.03184987706085
27.215013958549765 77.96652070776781,27.131174982337235 78.04157181673504,,27.160092885995113 78.04761029478058,27.160932714150427 77.96418600445546,27.143969564374522 78.02216675286996
27.113053203014587 78.00040205499228,27.21516717794445 77.91368822948766,,27.233116313811422 77.99453154599225,27.205128161337132 78.06188932620636,27.191573531589462 77.99245600868592
27.192346821789215 78.02737269181326,27.22880214605969 77.94183419512578,,27.212573568775202 77.9872155333224,27.20418678560367 78.05155117962111,27.19604966288888 77.91842626617827
27.141203087996935 78.02773891650926,27.149853948341395 78.03179838327169,,27.1442503315265 78.01950492434744,27.150661563003602 78.04201522461636,27.21993035626892 77.91458805493525
27.171786060312712 78.00815683357068,27.186568211109787 77.94244678210596,,27.130645133200915 78.01702262126021,27.179115609600654 78.01622151947053,27.188166736771493 77.95791994095089
27.18126520940749 78.03600418972754,27.141219584425023 77.97341905516036,,27.117388888632686 78.00220882213578,27.21101659063037 78.06131439194466,27.214398570833346 78.01888267429544
27.172795131925017 77.97098490952875,27.202697482608063 78.0589828344525,,27.19820236371666 77.9643266122479,27.200188625777493 77.94066703799685,27.11983098292353 78.02745984842069
27.168777370211956 77.9836595438796,27.198393687858843 78.01555250150467,,27.17522130814279 78.00731800549433,27.213870703184835 77.92678757821014,27.235859693607015 77.93263110130015
27.184948912797207 77.97343740895933,27.19369820210973 78.06491711945111,,27.207613114018635 77.91564723221784,27.141565801519096 78.04618476769195,27.2082240676451 77.93063589588562
27.218860740074266 78.02362550837167,27.232736616130246 78.05286701601155,,27.185120222376256 78.04215886869707,27.213227741963625 78.01493545398723,27.134407585869287 77.98313391419808
27.13946705192523 78.02736614060002,27.144779687760625 78.03013401816717,,27.159831197916304 78.06093666224056,27.14655145533589 78.05625581664793,27.153634285847563 78.07111650135614
27.17309675270597 78.02010185224187,27.167680203366857 78.02185377157406,,27.1614989802505 78.00545274314484,27.24214608486172 77.96681647669752,27.194831234644763 77.96497199236106
27.211676581816164 78.02624792769785,27.200824825486496 77.95353702859508,,27.218790841410268 78.02171942750748,27.229044046137894 78.03441306315506,27.19096724405742 77.96590182612577
27.225808077496193 77.92699335852495,27.232889255641062 78.02773337306175,,27.20033172811944 78.03521314494925,27.248960697336486 78.03291222500904,27.14852033563262 77.97966149850274
27.115188667350512 78.03274873819115,27.17028152435794 77.94153435712472,,27.229769911469685 77.9027823765108,27.168979195788914 77.99016338572494,27.16802651287265 78.05898762912771
27.1515597143281 78.00674852443468,27.129930531197793 77.99865689907863,,27.152311599120242 78.01111236905214,27.187787465637488 77.95373391379815,27.22156091535011 77.9968956701331
27.244191128700034 77.9867132605902,27.223516785203696 77.91046098360972,,27.185497343939314 78.02992688874114,27.24448972850686 77.98683854036709,27.166800505550572 78.07101016848122
27.241750742797585 78.01553473786099,27.14058121996761 77.99482922831669,,27.232327938498948 77.91195663158295,27.228580957240858 77.90717498732616,27.229703586395786 78.00687260464687
27.195014670110062 78.0383307449417,27.20517147794517 77.99752541675473,,27.184510806113988 77.96165700292295,27.168484543077945 77.99691321302443,27.211986914913588 77.9100369362592
27.122484485790867 78.03722361414201,27.21616265424137 77.96761772549806,,27.154725802321927 78.05446527096865,27.20252451372555 77.96936586018688,27.13913373288361 78.03480096804019
27.168694360568562 78.07018617608948,27.162321314443712 78.00926143566129,,27.20592799689668 77.99908821384685,27.168706617117724 78.03829451473989,27.192706364563417 78.04125782009575
27.19674922694281 78.06050734308671,27.1899741220123 78.03477393881191,,27.13363900168407 78.01529122538706,27.158551616772797 77.97153241713272,27.17583686736301 77.9420340812565
27.14641120531356 78.05220962081964,27.19202375357601 77.98935421045503,,27.151374601599464 78.06553509964395,27.17027447054552 77.98523328824531,27.237641756487548 78.0422014271815
27.13575206598525 78.01173063552976,27.15881398800178 77.98951896204677,,27.228307653158698 78.04798965867938,27.18262722759125 77.93286964514229,27.218326131663183 77.90996112469595
27.16831242902306 77.9812109521325,27.21442497302767 78.01237169108487,,27.22148504445337 77.91379752834808,27.159324896018134 77.95942878500692,27.227585636459605 78.03838644382337
27.125143139379045 78.03185594594177,27.234279381629513 77.95995944441171,,27.221662495061043 77.96499191203367,27.207869158856784 77.9384826184256,27.20285001157867 77.93358877271083
27.161871820418465 78.05810839791026,27.17957574799222 77.94604788295668,,27.148467341318455 78.04489353345272,27.15546255366108 78.03173747598711,27.221828692912545 77.90186425553624
27.158581971986354 78.01027702163177,27.19496945101016 78.04671837783116,,27.208473416625605 77.98655051336623,27.191528956117235 77.98246236219347,27.216219538085223 77.91890771770937
27.21917813113834 77.90257359347274,27.151061596083366 77.99359816996373,,27.15434715300114 78.04985714949845,27.1622576543911 78.01702869082912,27.208284299455958 78.05361082909458
27.216463073528693 78.02570465695139,27.16279374902511 77.97226363765006,,27.209994109742404 78.04403948899434,27.14727975153822 78.02466973329632,27.12754184588157 77.9949787399292
27.13418340032386 77.97601938256746,27.19212749098795 77.95110145557683,,27.231063704147825 77.94230386073372,27.127994924472265 78.00527552829888,27.190298561013257 78.00894539532956
27.16712095831594 78.01631272374325,27.13638623616065 78.04713025433867,,27.14248491628312 77.96780173004053,27.176995001958222 78.03648771263745,27.229217611964554 77.96255278511403
27.236134563264006 78.02844997213361,27.201435701286062 77.91754065646771,,27.17548119670948 78.03062465329538,27.156025975032417 78.02843175714086,27.207038261678573 77.95653183172817
27.177970643521512 78.03953750879644,27.16926068605029 77.98656301646133,,27.187549037819117 77.95261945352586,27.128688154194784 78.03652456052812,27.22942688563326 77.90762565171975
27.243319459816966 78.00345481908984,27.173560561734938 77.97947818546773,,27.22357093880107 77.96796603053156,27.169317692399087 77.95269197025104,27.10828595982229 78.02368308725023
27.155680024000308 77.9920430870075,27.24419227148901 78.02422549650471,,27.23350469605763 78.03491991525583,27.212495666548847 77.93033849897378,27.217105608047948 77.97303800548518
27.212364860867535 77.90239166709146,,,,,
27.178040748517947 78.01328771083463,27.11066585941705 78.00636289792214,,27.194607582402046 78.00906822330114,27.230823962487968 77.90999638022404,27.174567680838482 77.94989185430244
27.15186895484415 77.95989392092294,27.17896021551629 77.94230329440843,,27.178173549109736 78.06789269094615,27.22855273475368 77.93892422055565,27.23861641007659 78.04619188758741
27.164098195097054 78.0099568238578,27.220091096281646 78.05531909590135,,27.17176236754975 77.99697125622593,27.246172805457313 78.0252394651356,27.167524033069743 78.05210572296367
27.140884424016182 77.99312528104583,27.189080854019387 77.99811778943713,,27.205838254304837 78.0079368994718,27.222993817291876 78.01663247249301,27.205588497568147 77.97806423954265
27.190015423521942 78.00448305956323,27.229298813191182 78.05548023441388,,27.161273205296695 77.97372659212857,27.12494960079365 78.02653219665432,27.189085828592997 77.99830996893934
27.157347872581028 78.00541187729223,27.24416081064409 77.96749784792166,,27.205395382108183 77.92168447506971,27.14954125788283 77.96153448846171,27.13123611104092 77.99577239583104
27.146678738380704 78.01696141399005,27.11428317976042 78.02405743327301,,27.19971749272977 78.02001142305149,27.140317405543076 78.05795010474881,27.195147663153453 77.99411203161593
27.167228679751005 78.05342643045877,27.140111944140173 78.06501019388345,,,27.15682079456707 78.03906614603935,27.174899489272146 77.9627126456104
