Murder and Assault,Kidnapping and Abduction,Sexual Assault,Theft and Burglary,Riots,Accident Prone Areas
26.461479315041615 74.6159962544635,26.424696108634784 74.62760890876501,26.39573004653682 74.64959500276457,26.42460765210652 74.62992113792818,26.46196476988879 74.6051760451677,26.46196476988879 74.6051760451677
26.472494613712193 74.67237457203125,26.48888038044546 74.66319417972856,26.396224846439683 74.64769814738683,26.453799231524734 74.61391232942488,26.467776867018465 74.66031026541302,26.467776867018465 74.66031026541302
26.448563808609727 74.61748569347026,26.496088218332787 74.62344185543685,26.40285567669681 74.65269213500981,26.492690972736966 74.64533163560125,26.42389081777347 74.63551627836554,26.42389081777347 74.63551627836554
26.431057189343893 74.60704850994992,26.483535507548574 74.66428591123635,26.44796256024555 74.60065223875712,26.433071483993487 74.62307577288695,26.496589343531465 74.64898922086084,26.496589343531465 74.64898922086084
26.44596561176631 74.62787413241118,,,26.426041196179217 74.63314535309473,,
26.486644061510464 74.60370810930323,26.48498727204422 74.60708938773494,26.495013369166596 74.64207912026299,26.459021320233735 74.59524025412071,26.46187563464422 74.63079429751414,26.46187563464422 74.63079429751414
26.44017996525617 74.66248826122171,26.44422119402702 74.59878016814962,26.441811008104786 74.6997514309762,26.464094237137857 74.62565894986902,26.498354656209372 74.65931809797686,26.498354656209372 74.65931809797686
26.448155477168758 74.58332897918201,26.463062504154628 74.5849998583452,26.42566847832295 74.65268052360611,26.467252730919736 74.59948401427846,26.422158595899205 74.62720671128245,26.422158595899205 74.62720671128245
26.45409556819629 74.5782209168732,26.477718154626917 74.61297244082279,26.499815539006057 74.63449853102144,26.460421866793602 74.66763775390622,26.40011681680682 74.64640098195035,26.40011681680682 74.64640098195035
26.470251537238227 74.63880435225856,26.449911906976517 74.66779376282416,26.414644890623297 74.6574885756665,26.456991737703355 74.57456589736344,26.405518972409574 74.66185782332353,26.405518972409574 74.66185782332353
26.41269071879393 74.61673768806311,26.463029226252402 74.58806052665277,26.507145965794468 74.63729865366908,26.407627409132303 74.65362987960012,26.47012569472051 74.6461761521202,26.47012569472051 74.6461761521202
26.43666072122769 74.62033778921896,26.429517478274967 74.61535684231968,26.42783674088924 74.61604402831115,26.482428563730995 74.67167386081708,26.456818031997766 74.58552574818229,26.456818031997766 74.58552574818229
26.487093779056103 74.61406966502445,26.47466020837842 74.59259827344748,26.438117805325863 74.66836055622208,26.481856880612153 74.62277421308832,26.4003492680203 74.65597153997898,26.4003492680203 74.65597153997898
26.493863490364244 74.63997879939652,26.454943555844974 74.68415908333536,26.46516551022775 74.66478919868585,26.47880328948522 74.61435516492112,26.4593553432134 74.58928677348392,26.4593553432134 74.58928677348392
26.438556821286756 74.60832837982184,26.439410838776976 74.61881787710945,26.519586530305872 74.64095986686807,26.47902012214375 74.60879465171357,26.49678569308987 74.63458352293662,26.49678569308987 74.63458352293662
26.45637078895721 74.66034135379596,26.515761520518133 74.63824296855782,26.41832049847169 74.66790870782064,26.469361862845748 74.63824430853055,26.423568997401524 74.59865188922531,26.423568997401524 74.59865188922531
26.516427222561045 74.63688278188953,26.486692621117594 74.64614024835247,26.416665403213504 74.63349561219232,26.43009354035085 74.60502667266876,26.385425219651502 74.63173030697995,26.385425219651502 74.63173030697995
26.487051547786212 74.62721788505885,26.44889778090313 74.65152291853126,26.508471246049805 74.63353310691939,26.48771777558249 74.61796280684916,26.454130168241832 74.62481251166511,26.454130168241832 74.62481251166511
26.47034400481602 74.5903499307926,26.40784796734534 74.65045956493786,26.471881373193423 74.60319561014795,26.43271974872268 74.65499178206991,26.441690324728718 74.63476541615942,26.441690324728718 74.63476541615942
26.4715462451021 74.59196301311441,26.422031972027483 74.6667025669813,26.48684244825648 74.6197749584314,26.516847504691864 74.6429972087585,26.398107060298976 74.62077826805097,26.398107060298976 74.62077826805097
26.48160836497686 74.64566959078945,26.4115908730131 74.6238613419719,26.469594412240433 74.67577885260577,26.466650652086336 74.62080736871819,26.471317063930965 74.61566209636018,26.471317063930965 74.61566209636018
26.485525059581565 74.64451075825815,26.447063131601915 74.64748829345524,26.5062961803682 74.63101413485256,26.418484028745077 74.60623152435399,26.459096785439904 74.67426348393491,26.459096785439904 74.67426348393491
26.448729479953137 74.6770958622419,26.499227638624326 74.65771960595748,26.45076712369402 74.61756692178064,26.443622942452013 74.68010865456834,26.522100631267534 74.64181212110572,26.522100631267534 74.64181212110572
26.428557240401307 74.66282921314001,26.406971927152867 74.63729945917025,26.442349348367394 74.6355670507629,26.42944400872141 74.68339071086119,26.39345422099256 74.64246397116194,26.39345422099256 74.64246397116194
26.46607182004424 74.68370156606464,26.40107840371694 74.64592982020491,26.475394264877803 74.60291075874211,26.473201762469248 74.67674717559964,26.421313472115507 74.61077410352168,26.421313472115507 74.61077410352168
26.433876522149653 74.60729058500095,26.388636495315275 74.64244638454007,26.494315485509077 74.64881595716162,26.4653539497607 74.68031068859891,26.455201803991226 74.60355556994502,26.455201803991226 74.60355556994502
26.409073777051663 74.66154826513488,26.476678098639997 74.62857259288009,26.470992014144013 74.67533353245729,26.462145736906052 74.64052975291449,26.473182015727275 74.66646237156641,26.473182015727275 74.66646237156641
26.46827199085938 74.63136901007219,26.432046471798657 74.6437502000973,26.515530431128383 74.64774335592102,26.46381521129825 74.5949759050232,26.46698168055038 74.6202731762841,26.46698168055038 74.6202731762841
26.454100974649705 74.65606469142172,26.414297927305764 74.66005224660205,26.488196662794625 74.6592546669972,26.46245335525627 74.61832367770982,26.47922510983715 74.65639095839352,26.47922510983715 74.65639095839352
26.47884986957227 74.65725239706323,26.43231604326203 74.64512085959984,26.486408010871187 74.62566970036103,26.446160713622408 74.60088482975917,26.467336837740582 74.66394045769779,26.467336837740582 74.66394045769779
26.415298773765127 74.64043748109881,26.448758007283867 74.57836242434328,26.4371899936266 74.5987480284388,26.44339211661852 74.62536243130265,26.416318726156444 74.67399283549489,26.416318726156444 74.67399283549489
26.43696279010718 74.66969044851275,26.443230969934383 74.65748794140667,26.49861551810195 74.63732972315765,26.47016485837911 74.61082480243913,26.493319680350748 74.65009784832577,26.493319680350748 74.65009784832577
26.504277769382984 74.63757879958304,26.507557556692873 74.63878965175635,26.44773056183031 74.61526431669333,26.459681256670905 74.63088961942752,26.460389370337303 74.61678050516815,26.460389370337303 74.61678050516815
26.430919343172057 74.68761977167317,26.46836014514157 74.62011449555426,26.4764161997543 74.62848753983427,26.449984368882333 74.6793413784373,26.46657576273233 74.63091679248795,26.46657576273233 74.63091679248795
26.463271587806098 74.68328562015962,26.408298469734007 74.63896060285563,26.452875394701383 74.6833097755233,26.413731498978038 74.65634227680312,26.38969533435828 74.63904097628074,26.38969533435828 74.63904097628074
26.48261856369548 74.65313472771219,26.430536905841105 74.60000337812504,26.426625299262273 74.6731752485732,26.47008260829107 74.6807814961199,26.46569602312432 74.67309208407266,26.46569602312432 74.67309208407266
26.430497904074088 74.63690759890753,26.4351038430381 74.66582121978259,26.46399866661618 74.62716759211642,26.44758362263678 74.6833673912415,26.421320839072525 74.61724510665063,26.421320839072525 74.61724510665063
26.440682658306986 74.62145226392623,26.43092408457476 74.60022510972853,26.50543050089957 74.64289075804176,26.4557723512185 74.61288215654368,26.468991886316452 74.58737245694512,26.468991886316452 74.58737245694512
26.48069591799053 74.62931849560208,,,26.442993037091846 74.64238244970235,,
26.48248160571606 74.66793021331043,26.452791016739468 74.61094105254764,26.409162644035117 74.63924588201476,26.43768957813985 74.66865268998721,26.455620888498036 74.68229030810414,26.455620888498036 74.68229030810414
26.441833631626206 74.6597355733904,26.46486052376675 74.60179254779925,26.415144266254774 74.6502720836046,26.439590476824826 74.64013951354165,26.461569479568286 74.5764941402839,26.461569479568286 74.5764941402839
26.446210752681697 74.63381432384674,26.424228703825754 74.61177159946457,26.399017217263594 74.6365930223096,26.429698681459353 74.63138240876438,26.44130676581997 74.67415340172245,26.44130676581997 74.67415340172245
26.410688157327623 74.63333747326497,26.403875295377002 74.63427894681729,26.50194111937522 74.6512709297861,26.424096725571 74.6335215845198,26.445768854024042 74.65036094045956,26.445768854024042 74.65036094045956
26.435031111133025 74.62819848023297,26.41777530562615 74.61809754176751,26.430391962521906 74.66130203465498,26.438415075378945 74.68352992282412,26.431242542438927 74.65640568286176,26.431242542438927 74.65640568286176
26.47177301160814 74.64603958352525,26.485505983793434 74.62093276317887,26.45666400097672 74.62723268730588,26.422493409689192 74.63853727478492,26.47365906436236 74.66379522465432,26.47365906436236 74.66379522465432
26.496959529223822 74.63221008540606,26.452247934591153 74.60926836500536,26.387545047452193 74.6422208814736,26.397113181284656 74.62604440351093,26.449182714335347 74.58712252327247,26.449182714335347 74.58712252327247
26.502585923345205 74.65104508850757,26.46273103479665 74.68217367301881,26.428531479541547 74.63452982147228,26.466853767115012 74.64672201007382,26.448600721202297 74.66401465752413,26.448600721202297 74.66401465752413
26.43934828614197 74.58805025526074,26.412308121647094 74.62406846590835,26.41364883030411 74.64589351177634,26.489151575359543 74.66525655739336,26.489396599758237 74.61126464743568,26.489396599758237 74.61126464743568
26.51490977956371 74.64228758015953,26.48237134132122 74.62292379258669,26.42110098235372 74.62896751006652,26.512863882825606 74.6503278414713,26.462444954985834 74.61663466962287,26.462444954985834 74.61663466962287
26.51308337733679 74.64606205061179,26.419825155074022 74.63756695287013,26.406276195185907 74.62700012817065,26.508067402844055 74.63341182891642,26.42663056777009 74.65951569879066,26.42663056777009 74.65951569879066
26.474299051563964 74.61981911615507,26.484128406849067 74.65648373950485,26.46608771247184 74.65478796294823,26.425043172383734 74.67242028714466,26.427438320696616 74.62398568185404,26.427438320696616 74.62398568185404
26.477468767572905 74.64325456510777,26.47849269124495 74.67368434088418,26.436516471961895 74.68015281063622,26.432481715556165 74.5954578765442,26.42395193270408 74.67409284990913,26.42395193270408 74.67409284990913
26.422550010361018 74.65326152011093,26.443985711304812 74.58521112442648,26.43971135888156 74.62846196409673,26.44241616926956 74.60307650103111,26.45192629969896 74.61780669101438,26.45192629969896 74.61780669101438
26.462623238568234 74.61631044393143,26.43379595654261 74.61098467526747,26.449414258238143 74.59765971899422,26.44594290194951 74.6205943993092,26.419800895058057 74.60678056920199,26.419800895058057 74.60678056920199
26.51852588227323 74.6389063209279,26.486624193890307 74.6051928267832,26.452290270493965 74.65133146803052,26.41663508809061 74.6381809181498,26.413183063437586 74.64157302371513,26.413183063437586 74.64157302371513
26.48539532378416 74.64017907737316,26.438338393248923 74.67222929864292,26.45280708165806 74.67254132415857,26.420906929944568 74.66380244481904,26.492122163757962 74.6189485039378,26.492122163757962 74.6189485039378
26.40958928266818 74.65230787376973,26.413628332730486 74.66880796911418,26.450655138530475 74.67373945199873,26.44104762433824 74.63951530863488,26.491435606608242 74.63085521198572,26.491435606608242 74.63085521198572
26.46003855770663 74.66907935263893,26.477490969369626 74.59797271412975,26.463057161963025 74.64881896084741,26.4211012694501 74.60828281086448,26.471934002360168 74.61501355808501,26.471934002360168 74.61501355808501
26.457569244779705 74.67661700545057,26.47240296929204 74.64340887768802,26.45295906257625 74.68574911433934,26.467680297581538 74.63263397936,26.39082820654532 74.64439702033677,26.39082820654532 74.64439702033677
26.46587396033161 74.63096157403086,26.4052122124397 74.65360082776334,26.472532931009084 74.60828878501927,26.478959963065737 74.66816842040461,26.478879555468755 74.63338504449139,26.478879555468755 74.63338504449139
26.495618656722 74.64788625432944,26.498179308336212 74.6423764261291,26.468114440773537 74.66342609663414,26.47828733982654 74.65395816434983,26.50652443842489 74.6390538552132,26.50652443842489 74.6390538552132
26.447872949261864 74.67462232763796,26.39392908740144 74.63575434050841,26.405113090290925 74.61794662804193,26.45010729131997 74.66401311365745,26.453736591518823 74.60705161652905,26.453736591518823 74.60705161652905
26.45842489876479 74.6219849857486,26.490098584847125 74.63591779077383,26.464715825772306 74.58657298156048,26.403076931780756 74.63228916904215,26.41949020141263 74.61257945317885,26.41949020141263 74.61257945317885
26.499540759713152 74.64854424823882,26.459888395752195 74.60623353788664,26.433196219088433 74.65455759623107,26.503070392225595 74.63051785559557,26.4624365226387 74.6531299340026,26.4624365226387 74.6531299340026
26.440686988641932 74.6990503249903,26.4230421245888 74.6321763893431,26.45881207882645 74.59756635477436,26.442036549242665 74.69185905931077,26.492961898951457 74.64850592135653,26.492961898951457 74.64850592135653
26.41979165871607 74.660111345025,26.41719150030517 74.62437603274459,26.385851641935222 74.63212676235976,26.389718740923005 74.6411830504081,26.440590519149524 74.6196004633662,26.440590519149524 74.6196004633662
26.440708181086922 74.58691153278738,26.477983950303067 74.67305675257519,26.484672900975887 74.62537488690921,26.453119373733447 74.58572409414468,26.48129502034938 74.59699602373115,26.48129502034938 74.59699602373115
26.467078816652055 74.60305187458783,26.457365462467944 74.62299416212095,26.435231510970652 74.66758907549882,26.48473770930394 74.65631998468,26.42011283164447 74.60935932645383,26.42011283164447 74.60935932645383
26.507581860953955 74.6422317788329,26.45487129455675 74.58175111811443,26.500256424435573 74.64116654666898,26.470958347467054 74.60863041602434,26.476860674498955 74.59873022373725,26.476860674498955 74.59873022373725
26.40015590550483 74.61897364518092,26.491933852389447 74.6573467435782,26.479208990483897 74.60378677360424,26.391978970336552 74.6359057302982,26.486390123188475 74.61791810541622,26.486390123188475 74.61791810541622
26.4422948628696 74.60452232124155,26.474536100830022 74.63525324495592,26.508010960039833 74.64291140900616,26.421763217260207 74.62876432500936,26.45858465807774 74.6080422005111,26.45858465807774 74.6080422005111
26.41282693097798 74.61854446466882,26.43762742594518 74.69625238815912,26.446908422311726 74.6499267968054,26.480158557969077 74.6433902329784,26.420048353838915 74.60551951870099,26.420048353838915 74.60551951870099
26.42331886098482 74.62629737328557,,,26.48695773097367 74.61755593412936,,
26.491683146400362 74.60819961886635,26.410186078538754 74.63568180465654,26.460132880564643 74.5820353040759,26.494387987078948 74.6354778012721,26.429999823611357 74.68980355497813,26.429999823611357 74.68980355497813
26.45902033009541 74.68563556014874,26.432270085573343 74.63750756152751,26.48929529923236 74.65072656550744,26.468955736892323 74.61102031786007,26.421129922820672 74.65125878488793,26.421129922820672 74.65125878488793
26.42549078819639 74.66909781825171,26.504939492727914 74.63050132302514,26.453975240598396 74.59984601470518,26.39106254436711 74.64589442956901,26.481219008365397 74.63704121062189,26.481219008365397 74.63704121062189
26.432818973606746 74.60132091555354,26.416166637161087 74.62601661574004,26.457606654095745 74.63432389455967,26.454414224201788 74.58576422654838,26.442467453965573 74.6107693664634,26.442467453965573 74.6107693664634
26.410990296890276 74.65062933426996,26.473179802207955 74.65914779846246,26.467936693201086 74.60726223159669,26.449078397420916 74.5762019618157,26.45303633479535 74.65503051448461,26.45303633479535 74.65503051448461
26.469671509460284 74.59081426566787,26.456463601915193 74.58998491397327,26.4193515989133 74.64377853296075,26.48369068425119 74.66490976807115,26.467721567647 74.58941515798783,26.467721567647 74.58941515798783
26.428044876442293 74.67057283512972,26.458129412663535 74.59748666309203,26.446876537243025 74.61769755867614,26.494383625577083 74.62579982868698,26.471708853199054 74.62869030132454,26.471708853199054 74.62869030132454
26.498983973024675 74.61837919668983,26.49954856594986 74.64039667170675,26.498773665629514 74.63220391923858,26.51129988919477 74.63713446658777,26.411897275907595 74.62712810696226,26.411897275907595 74.62712810696226
26.4669347348497 74.58057457069722,26.417771567084685 74.65204862772856,26.402128696090305 74.62157228089781,26.49707462180704 74.6499071983676,26.46949045020218 74.62939701126841,26.46949045020218 74.62939701126841
26.45103848892355 74.69276335656097,26.452204039586093 74.58309358648235,26.476462874594336 74.6399958792671,26.441034277075545 74.67908064545323,26.479342188313343 74.66691235997287,26.479342188313343 74.66691235997287
26.425054939600194 74.62482875123624,26.399564541828862 74.63688232996562,26.49845909428471 74.63704160930472,26.45083535775745 74.61014150651654,26.400441024959758 74.63632624487816,26.400441024959758 74.63632624487816
26.45870441606857 74.65118641786373,26.43914457865647 74.62730983355762,26.430287815262734 74.64077603211081,26.412603769954977 74.63043237189994,26.44789268124298 74.59268725439938,26.44789268124298 74.59268725439938
26.453929165056635 74.603006978237,26.460044276540376 74.65892612253919,26.453021634758347 74.59600073976301,26.43043529809659 74.67381752583898,26.466130335565136 74.65872013475962,26.466130335565136 74.65872013475962
26.429518435407612 74.63555362017577,26.45890535820168 74.67516665372895,26.435570781020072 74.62565314145651,26.504559681865576 74.64053333969524,26.436166948560455 74.60485021577972,26.436166948560455 74.60485021577972
26.50285444105116 74.64518854155955,26.394009220696713 74.62538523570673,26.439593027210037 74.6298704358131,26.498513648765567 74.63553527221737,26.447316913009196 74.63610471615563,26.447316913009196 74.63610471615563
26.44215253629662 74.6427936760447,26.43994469316731 74.64477859411502,26.44460153332388 74.65501034497952,26.458392756013467 74.62582003663545,26.409364338323545 74.61997193377265,26.409364338323545 74.61997193377265
26.446412619862656 74.59133323254375,26.437930176278755 74.69411880619644,26.470390790266695 74.65211104127837,26.442289651091652 74.67622430353639,26.439274456465487 74.60087453931293,26.439274456465487 74.60087453931293
26.441320856345587 74.60212995726545,26.41573207570177 74.66333271495658,26.441741326341372 74.6141013239525,26.457761421480413 74.66922216023,26.453061175249857 74.6614372183239,26.453061175249857 74.6614372183239
26.448666245662793 74.60650456786512,26.466143602683832 74.64429710108224,26.499912568317853 74.61750858160723,26.51340876324487 74.63662083910735,26.421513655940863 74.66247360297508,26.421513655940863 74.66247360297508
26.504353463273446 74.6205839036815,26.435830719820157 74.64882700156855,26.402775042705738 74.62474995237807,26.477067418207128 74.64436771750594,26.42977359118936 74.64786709065116,26.42977359118936 74.64786709065116
26.43413808236104 74.647002209081,26.440559010774855 74.64037733617732,26.43045594056907 74.69038863509331,26.416533463712273 74.61114444879692,26.488808514524724 74.65119098381312,26.488808514524724 74.65119098381312
26.443557909086284 74.58780825946826,26.415666517208386 74.63771108871059,26.44132485941605 74.69196608493945,26.467142949368558 74.6197025261841,26.49068673876532 74.6486561844715,26.49068673876532 74.6486561844715
26.461554928309138 74.63716347140591,26.445273020482983 74.66453536066646,26.487924792847796 74.60655887557392,26.407128918362474 74.6365001302703,26.42876931403905 74.6260091758702,26.42876931403905 74.6260091758702
26.49304073633711 74.62506265484879,26.417437372022633 74.64314664772415,26.478014200807166 74.65289824354831,26.447673778288575 74.65260377905314,26.427893357911344 74.64796182509959,26.427893357911344 74.64796182509959
26.455103206474945 74.63076474019358,26.46494180043201 74.61676234444413,26.465836751153724 74.62565096584905,26.51361827269181 74.63910617800641,26.397670569818896 74.63814702467747,26.397670569818896 74.63814702467747
26.50576295521072 74.63670940633298,26.4195265186477 74.62409612116238,26.48491360511836 74.63952596004987,26.468502907313052 74.6010065248061,26.47661432550058 74.63212686965453,26.47661432550058 74.63212686965453
26.471528454845615 74.60429282521001,26.442095343645303 74.627422404109,26.457037950211365 74.68261675507755,26.48618379141975 74.62493915083138,26.40882514728105 74.61816486273455,26.40882514728105 74.61816486273455
26.4001893136202 74.62467295790917,26.44770003107834 74.60298872681705,26.491547290532107 74.60951533155098,26.435844908397854 74.67981208117325,26.40070394743501 74.63960208215124,26.40070394743501 74.63960208215124
26.464573774879028 74.66610946784625,26.419991270012208 74.6637818587614,26.45100523162444 74.66959117140226,26.390936281367374 74.62927350358619,26.47839254475107 74.6525245196461,26.47839254475107 74.6525245196461
26.415004657211963 74.61710528337015,26.453775595384656 74.65744113581624,26.436930630869053 74.59465168394354,26.463939294673253 74.67402968281226,26.458465263947453 74.58304273947687,26.458465263947453 74.58304273947687
26.423009286628986 74.61246918256433,26.462544990531928 74.67838177528455,26.45739912522084 74.68844530586277,26.48736278702655 74.62398730769675,26.463769260035296 74.63372520477238,26.463769260035296 74.63372520477238
26.46465805257039 74.58745233402138,26.4449009663625 74.58163223824268,26.416140889221214 74.61106764670593,26.456066495452365 74.66423479424445,26.496011126526394 74.64724435590236,26.496011126526394 74.64724435590236
26.47507937548508 74.58945035051812,26.395899098423715 74.6263197854276,26.476730931027905 74.6053773160424,26.44473546192982 74.63018130680378,26.49068087486684 74.62085671635981,26.49068087486684 74.62085671635981
26.455222723319018 74.62936592400384,,,26.43098458696742 74.64290889133912,,
26.514329121385952 74.63839842388023,26.44080733330415 74.58854295758267,26.438049042699003 74.62285048373313,26.441572324185028 74.64825674854214,26.47981475104169 74.61604687584075,26.47981475104169 74.61604687584075
26.479888560340516 74.64053341769683,26.481574573987157 74.64980204788841,26.426291128432702 74.66261137765365,26.434480027694033 74.61568299158735,26.401516532010586 74.62858435130526,26.401516532010586 74.62858435130526
26.418943251056834 74.63414930760597,26.434344004259252 74.6290264072662,26.48342399454367 74.6626566952238,26.44490438099519 74.57931526146838,26.433504610622613 74.64429727642177,26.433504610622613 74.64429727642177
26.498360564175275 74.62050061816403,26.420533689086923 74.65839912224781,26.428358270557204 74.64732167449068,26.461624098327146 74.65801577470202,26.438014429158006 74.6368637316404,26.438014429158006 74.6368637316404
26.437803444197083 74.61875627359333,26.45850824511925 74.58108174560726,26.439477698479017 74.6054099579339,26.429194807693847 74.60398222287297,26.469823123628412 74.65435032857884,26.469823123628412 74.65435032857884
26.40121417449174 74.64263418944643,26.42320897490652 74.61712872487188,26.437336492578094 74.68335529508629,26.40015221084459 74.62902757298978,26.459827490192957 74.63682672399844,26.459827490192957 74.63682672399844
26.45450069971011 74.65659885564838,26.434355277990566 74.6148048328514,26.46991592284652 74.64328472518721,26.439027005982215 74.63282639037264,26.49523803658845 74.61041812305453,26.49523803658845 74.61041812305453
26.446731415059283 74.59322242196414,26.456053373878326 74.63317047283839,26.432780705815407 74.59037431724809,26.4276783646721 74.6021458153352,26.453766067007237 74.58985947665343,26.453766067007237 74.58985947665343
26.4410397969479 74.62775918362723,26.46028935812985 74.64372964015529,26.431025766213068 74.6446366719692,26.44064883871236 74.68542938096971,26.449220856236842 74.68100868093099,26.449220856236842 74.68100868093099
26.456990945212542 74.64943941868964,26.456771712307628 74.68899513031121,26.4174568220129 74.63731877229786,26.503063751066705 74.65238702220316,26.492462491791812 74.62508048577658,26.492462491791812 74.62508048577658
26.440570099259883 74.63903507601381,26.40966231772426 74.66173382864709,26.448296918817597 74.59101938699287,26.424741674087333 74.66653884725102,26.394604448624055 74.63064053188747,26.394604448624055 74.63064053188747
