Murder and Assault,Kidnapping and Abduction,Sexual Assault,Theft and Burglary,Riots,Accident Prone Areas
26.836515717666263 75.87015217112696,26.894685771702388 75.6865556431047,26.741651856937295 75.84623121476757,26.78049315219161 75.83910852467078,26.86904427590683 75.86048170277908,26.85312693285851 75.77037603667029
26.83125225402206 75.82788043342309,26.85935876099133 75.90473155074366,26.80587495584401 75.82300151820266,26.87945426017188 75.8115482106249,26.817309932880384 75.87007417745254,26.811292379135576 75.76400235938193
26.987292119715118 75.7911996287073,26.901300180847446 75.68258857520883,26.814729791445544 75.81459635971808,26.807290468735292 75.84175092645927,26.88553213861128 75.80880033050244,26.839820834924335 75.82177733285398
26.969235132851697 75.78818957401073,26.891397300422458 75.93066281506086,26.84859661137177 75.78461352494098,26.829619820306057 75.8212337233798,26.871236409782465 75.85791169623019,26.868591441088874 75.75230777490965
26.87811241778372 75.81544683139686,27.012498088819786 75.7670023020652,26.882176906531317 75.70161471828426,26.956993129339075 75.82895497575922,26.817950438559247 75.81342969692854,26.950213943806105 75.7915976142178
26.917334559373845 75.86987757904217,26.89752852152626 75.83564267848982,26.86417117202329 75.82341660170603,,26.960848932796598 75.80157857865288,26.982670354056744 75.75864919880831
26.870890950172665 75.93729849258939,26.85911615350455 75.79978669853578,26.85948853047079 75.86987100793576,,26.8578282175023 75.84070028132884,26.934988067236336 75.69621673226905
26.990681035209448 75.77240308248548,26.96394403801444 75.77613853626356,26.884173682611138 75.76204541916745,,26.91974657294564 75.81606543922595,26.847030232119916 75.75880679217539
26.88708149420948 75.80546760160269,26.86933906003334 75.80211480377348,26.84773833752063 75.78989954666032,,26.836726187761776 75.85835237396103,26.985150793934906 75.81866136896325
26.915169793611177 75.76953340173273,26.972244816214637 75.81818096040278,26.88095224123887 75.7628510352079,,26.78783906906868 75.79741708087421,26.801290625468095 75.81297374495773
26.88277478643326 75.80264284802523,26.923668824270756 75.88003002886157,26.9716501743553 75.71069893606781,,26.94502061909074 75.79946701653971,26.907352799070438 75.70645719681414
26.870114948921486 75.89528782189751,26.98164853745999 75.80187431229015,26.83999738519124 75.80551575700866,,26.83704402735258 75.91064660729538,26.90470662804799 75.71846278987444
26.930010710181875 75.67938501065137,26.814109359135397 75.7969101695646,26.91261426697505 75.69827386096762,,26.913115442472538 75.79081084334808,26.977617892861637 75.82620888221912
26.90593404306831 75.8732954876896,26.866820744642336 75.82859487003161,26.93521737214341 75.8560065381226,,26.934936648829176 75.85628900575759,26.928507939156717 75.69307343203059
26.822443683550187 75.86341606383776,26.888756516128634 75.73269203475702,26.787466628520537 75.79541569471036,,26.905384948093115 75.80826230498828,26.96946807693253 75.80543769003485
26.875097461873906 75.89976406760813,26.82080445108801 75.76493147142496,26.802886748620153 75.87518483969448,,26.853122543840854 75.84662379101309,26.962408733323944 75.74982295741549
26.747990882532505 75.8427285211316,26.81879206697032 75.79874531528158,26.775998736399686 75.86027796916218,,26.939895787953127 75.7132342297432,26.867102111022998 75.77264451144264
26.878970793833613 75.78953985653581,26.756428215301913 75.83867237867442,26.806219692689634 75.8608033106056,,26.899984736229538 75.75501435817677,26.814365814399157 75.79524970779345
26.943530081107227 75.7502627102218,26.83036852872472 75.85689631349986,26.889925537745242 75.71902945913322,,26.815228715229697 75.89532168333953,26.929328032230366 75.75689713652628
26.976002126037812 75.83257187126385,26.922652235895377 75.89396490034808,26.88034264283723 75.93013632881859,,26.80663848802356 75.85414288027387,26.91102368286854 75.67689213849417
26.77739071623592 75.81836654897862,26.889801007252682 75.83762921089016,26.949041249457828 75.75413545208687,,26.89838904075184 75.86223607642154,26.792009421500413 75.87174800734765
26.82837128233723 75.80651104488685,26.949528432001728 75.70816254366581,26.901470928729122 75.83437319553151,,26.935652172226995 75.86415043086718,26.84970798327433 75.74265951619704
26.980359911954046 75.77647079550239,26.919398820749358 75.80890550979528,26.93036499202559 75.84463968182042,,26.918632472155263 75.77338301370015,26.9441518601776 75.83659272715302
26.981209550185184 75.80327704065066,26.88019159468021 75.77403438054367,26.860929170508424 75.87140924314868,,26.932516328258885 75.88633113629524,26.87484172025669 75.68935781884603
26.958248180916467 75.77182650717486,26.77259424002479 75.81049138541584,26.854414499975075 75.80907860851309,,26.957194168560676 75.72743890153826,26.87526789809349 75.76584794198058
26.950954219369017 75.74504487604817,26.867069829338764 75.84830782678978,26.854583194442252 75.8797400593688,,26.996054254269417 75.78155265830858,26.940845812886998 75.6851394834445
26.830553391184658 75.80046896700176,26.835553266858142 75.7499880692934,26.79974141542328 75.8846538736161,,27.007894146400506 75.78402002478153,26.959891489696194 75.84407473052423
26.83205399103897 75.8558051995975,26.928696782808814 75.67413806762897,26.88611012986284 75.88782917368115,,26.99689672741622 75.78365940905677,26.874159135172416 75.82488501591747
26.89065670580952 75.91031900624797,26.75448155193539 75.83758381034349,26.93002396894927 75.76562605211537,,26.775479955035014 75.82119119193099,26.918931326659916 75.7400698754728
26.952009110064502 75.8491458821761,26.95438461837121 75.7710285241971,26.936831619131222 75.83719615348177,,26.93189453904377 75.69505220374838,26.968490038298814 75.81175234502366
26.951095125394005 75.80005284237531,26.96525860671651 75.70659417371112,26.927964842439902 75.73046435569883,,26.85877323640311 75.89890044147262,26.82892382253317 75.76483067017037
26.877065233324885 75.75883650461573,26.92100144793082 75.86263926120208,26.951450090028995 75.81129062633548,,26.89388763108807 75.71737909707134,26.92827274121837 75.72827037562605
26.947113712943725 75.8566398866913,26.840941969765762 75.79341855668702,26.896012863118774 75.88177869781072,,26.91369670717603 75.67115174805684,26.839168805373912 75.80688120338027
26.984350644903703 75.7733415050991,26.846913966598596 75.81501132612843,27.00014640549796 75.7935687314122,,26.898705269810964 75.84651353932081,26.889627449388033 75.76172653082082
26.962280004832117 75.83001093070513,26.908687151579137 75.67774121395968,26.976137979919955 75.794162279517,,26.851503097531115 75.91907616499363,26.844225547522772 75.87546341588484
26.825030017530832 75.7821460008368,26.814393056915552 75.82752585334691,26.77663946778097 75.81630148498235,,26.88244261392046 75.78946949519428,26.92894616957685 75.74100197649827
26.98136967957879 75.82617327167392,26.932040128622365 75.70695729774755,26.840521246216145 75.9052767806214,,26.928548285377072 75.70353049632442,26.83451288729436 75.73601078250829
26.901956227640813 75.90033298799305,26.950206004801938 75.79874312013591,26.960695799192568 75.77738548406063,,26.917622461395368 75.6940272252806,26.83357789116213 75.79899786047494
26.83536008625875 75.8361688140669,26.9238172026127 75.84860812136756,26.88280453066678 75.90474880675725,,27.01139845871642 75.78672738569757,26.87163891119805 75.79820189837582
26.905180444353054 75.80167826530305,26.888660594088943 75.69063956345039,26.900157441928783 75.78935673892525,,26.842403813021438 75.8521409116261,26.911253531095706 75.6566291552885
26.810018192846304 75.87453470610217,26.936163377004213 75.83389864320323,26.75455483948166 75.84292113695844,,26.90663830167886 75.71229525655855,27.011280420728262 75.78659461167314
26.90498348264584 75.80617559987874,26.920099887060996 75.78699623786294,26.905448561442412 75.70754850360521,,26.954898923935566 75.75146954061691,26.959739490938574 75.83929568564429
26.77560197002535 75.83330680902134,26.98601784665548 75.74627865963588,26.896845158567274 75.78464278404144,,26.955556356808124 75.76440185504947,26.83952429954231 75.86930530628396
26.75342710916704 75.84634312432196,26.882942016566737 75.91729181165056,26.88307075667722 75.7547212227983,,26.945659162286052 75.77102502881246,26.879935151677167 75.79796645771664
26.85776095917273 75.72663211665588,26.97655535747227 75.79268573948143,26.966926855603408 75.8430652845836,,26.854355216038027 75.90431837660412,26.93629363232394 75.77704962494145
26.77131060757805 75.84049210198687,26.903842193567836 75.83600901413635,26.949509858184324 75.73077460063904,,26.793819967457797 75.8115601432483,26.9113529970454 75.83007771170661
,,,,26.86908585958824 75.83131609231089,
26.898814525653464 75.77659884667186,26.84528127163385 75.91983918010882,26.828578178054062 75.90803009350748,,26.807774316943135 75.85378291233421,26.868714780040342 75.85672920318555
26.961593896440295 75.70577529186482,26.943031462301562 75.8651298444867,26.956509802152457 75.76007483677279,,26.898919181889394 75.83241320736236,26.89317772545752 75.91070473704421
26.965343080176122 75.7577014133469,26.86949715887798 75.89389149638309,26.879401004980316 75.68547207089874,,26.914522687886176 75.83317430808533,26.950385814953165 75.75687148229379
26.9634287285207 75.82780986798839,26.877034490206608 75.76819919771961,26.85804584886685 75.89755402458805,,26.979063516685645 75.72316264003467,26.863822996205528 75.79823121560072
26.81648583873471 75.84285929879731,26.882343905292572 75.84351927765911,26.957531770265316 75.85171976779291,,26.825783063764526 75.86775839940258,26.974543653533082 75.73582127330523
26.871030565311475 75.69330827005736,26.935171014382234 75.86120044616456,26.921871781868084 75.76180336338182,,26.89185354175418 75.89143625815342,26.91757987341134 75.84362816174396
26.932726003712784 75.73355571741118,26.938387854649314 75.7953073596295,27.00885436492513 75.77119932441937,,26.86834018445521 75.8282759356467,26.80425624563565 75.84316037472746
26.97839499724669 75.82221348010702,26.922614884687384 75.68347843379084,26.90704106595462 75.88130855121264,,26.785784017045426 75.79953865700907,26.82806989523933 75.81408724962733
26.780660772344632 75.85046414170071,26.865820262595165 75.85789935848148,26.78498461832673 75.83967164765745,,26.998979109775945 75.79001210319235,26.93739007184351 75.6846312546354
26.96857079419274 75.80513658303926,26.827081824112128 75.76781612387025,26.8133986018708 75.8791130136171,,26.913976468128126 75.7295286745652,26.982539214348453 75.75417836494353
26.84584436172664 75.8268739300122,26.828180826892176 75.79737666034191,26.853597037301437 75.7627050053366,,26.788416908517593 75.79901521822042,26.87359700242038 75.90333360066302
27.0006215280533 75.75527678188683,26.843162537102355 75.77784108325775,26.823367271397434 75.83698345990489,,26.834839006368163 75.86224541945793,26.878642730703323 75.88407253724051
26.908034049816315 75.88239331393693,26.85481446708148 75.8446936435438,26.817017860269566 75.841882094219,,26.879835362532017 75.83750161430827,26.89770897748418 75.70820129828016
26.825832884898347 75.80828600090183,26.885172263239 75.88651493159844,26.92261703920933 75.824866505254,,26.76666421233702 75.82501091976613,26.94251229953992 75.75740588070977
26.89012198106733 75.89066835422582,26.80464560866996 75.80137770583521,26.80141088510632 75.77408312934483,,26.888678334621805 75.8076606102663,26.95768888067263 75.8385397972749
26.81718351427544 75.82239218669591,26.907206494043308 75.90728476497618,26.938241603693957 75.79695245340277,,26.896681635664223 75.66056316263429,26.82474402933229 75.8395665083768
26.938294562060616 75.76073916349509,26.88989781185396 75.8940683386604,26.890312947730163 75.87923752850446,,26.973547502426296 75.82188256807804,26.982783923265057 75.72895510065304
26.889536081449066 75.88579994178045,26.90365525416765 75.69851090974072,26.933027224948464 75.75557835675787,,26.812889270433793 75.7689151379201,26.913214181016816 75.68609257959271
26.923542955163775 75.80386740306999,26.83176451275319 75.89943913904978,26.920376999530276 75.67613530638945,,26.81551617947666 75.82424296035573,26.94333663704504 75.68524688570453
26.798625284360973 75.85412115453634,26.959717299555876 75.70261046781373,26.92588094968668 75.68446312943539,,26.9337958452418 75.66374997737711,26.82372076966981 75.76611468637036
26.938333623800638 75.84026902047094,26.86153771480952 75.92701207724924,26.9785291935015 75.74917488262857,,26.911969432043737 75.88532692932004,26.834562864271494 75.81077186631747
26.933596026775668 75.85152418020252,26.889948499888852 75.92336125421382,26.83360992949838 75.85439190708682,,26.824279357721615 75.84554037927933,26.918997575404976 75.73680944836556
26.87443336699097 75.86938452622577,26.915201145587947 75.65871347918294,26.959547564982387 75.84534402418186,,26.926355870900483 75.79241331458317,26.882057926983727 75.74324269477869
26.862761776926913 75.87540124921019,26.848254912757206 75.87290483755699,26.89433780991544 75.78630915318517,,26.984424261873883 75.81200984574902,26.89336322332723 75.89694024326128
26.946532149254168 75.80891961840834,26.821006291126164 75.75366473677687,26.93829220463554 75.78843622741174,,26.780283423841215 75.85975401144027,26.785805192310725 75.84380883343914
26.916686060833683 75.8859774259107,26.87831256672253 75.80961170930422,26.83533402668506 75.81187169800027,,26.92593977754513 75.7375815648034,26.966104602984377 75.7778861056016
26.90954815322894 75.88261017532338,26.998180047581616 75.80544234317166,26.848939965447887 75.82855804180794,,26.925645128261454 75.77419701787963,26.97489178244792 75.7328556228952
26.911773280212323 75.66415574126985,26.870818613684257 75.70427636954801,26.81404149431065 75.78545988883994,,26.817203069626526 75.88750247371121,26.863362419966606 75.77804844971688
26.981413801949955 75.8228600743525,26.85024337984055 75.87399693127661,26.871716952430244 75.71829536726433,,26.827965426335492 75.7484660622668,26.929735873310193 75.83678890093194
26.94414780921343 75.69013446675413,26.98469970996728 75.77503217425296,26.771178354732207 75.81757238367,,26.97011611693485 75.71381472201021,26.99657378629191 75.80008431392322
26.952847044160045 75.79810087885139,26.914016565029648 75.76567356979247,26.93935265542449 75.772187651018,,26.864328161073086 75.69932341556033,26.775433853635025 75.86473853918464
26.87681894833533 75.83094965788824,26.912387567281925 75.74142773911596,26.885306423869668 75.74473792271426,,26.873797385298246 75.79772458811885,26.88246166914689 75.87971416962324
26.865386704007445 75.77000446906257,26.965351404740574 75.83869463925292,26.85761542737828 75.88716830197673,,26.850009260045915 75.85010623686776,26.781754445303722 75.8078309005903
26.98632259356289 75.73650846373883,26.82629263769702 75.74742728370613,26.955097525494633 75.78875629435538,,26.94471893666758 75.72629664366907,26.894560609897564 75.74572453994372
26.931705523937293 75.8145652447504,26.940656629879506 75.67785139287137,26.84792697945524 75.79674834772764,,26.81162735003048 75.85291810589509,26.893663241799675 75.89977043701663
26.88653682104581 75.87781828216468,26.894199274686223 75.93384563864569,26.890260850011323 75.836504925443,,26.948077541719684 75.70430430726759,26.913724539947857 75.86702879296085
26.81479818549881 75.80134667008528,26.972979578895586 75.74412144710797,26.87046861894473 75.92669810327166,,26.88087798510178 75.72244434892836,26.86968860697177 75.78263320658156
26.986424117004635 75.73998346754387,26.87058065559975 75.93877702357051,26.796743346705615 75.86309782452085,,26.88052178862759 75.9193413478557,26.844132642993532 75.7597287970005
,,,,26.849387133271485 75.82065446255766,
26.911438723305867 75.88884402017969,26.773128713473987 75.8553124520711,26.900341842374385 75.67757542287113,,26.81843511922017 75.87366176815118,26.939091621557694 75.76601052373445
26.954409581252293 75.71261804250223,26.825502378855244 75.88383582097471,26.751942041116052 75.84667366587212,,26.917405262988357 75.79529320481683,26.924044209258682 75.76586636991335
26.857264157901035 75.88813432111873,26.859689850212618 75.86539567984606,26.937350849955518 75.88214046497765,,26.904007053601728 75.86327840876115,26.85740883468674 75.84329272544896
26.800525794727626 75.8068926922072,26.877937718124905 75.91721503350796,26.95238371319946 75.805809063876,,26.805431910886995 75.81664705796479,26.895792931258267 75.83277477726512
26.938897156008835 75.69953636843312,26.96220006272562 75.84145171382049,26.94089587469603 75.67758931588733,,26.84347937656885 75.83325297219646,26.96367652331201 75.82074171827487
26.812225609500356 75.85995736315955,26.832200389973867 75.85599493149138,26.784408765136213 75.81788763702593,,26.8490502332982 75.86871837805577,26.898123454684853 75.65873035284392
26.89550170516733 75.86673541286747,26.879693693547107 75.79751100334997,26.838716136312073 75.808959112283,,26.84145587553169 75.87017918196815,26.79099849988849 75.79969994241519
26.89778551649205 75.71450912082297,26.821785521102157 75.86899233866481,26.91373355147481 75.89076199092007,,26.791682635931597 75.7943326037624,26.870165330000113 75.89499278632746
26.974217005633932 75.7977451087031,26.833943487533887 75.8536052101342,26.914784024920557 75.88572829229524,,26.838283212434472 75.86569242679536,26.765693333799696 75.8477165806798
26.924729358744766 75.72073241021789,26.94239303383997 75.84482392969214,26.876785199113957 75.8746528737548,,26.78863207424506 75.81299859612639,26.884584324156393 75.67858846560326
26.868004571740418 75.78928864782836,26.986562886053726 75.75240585493697,26.827243048981906 75.76256524791542,,26.968703900460284 75.72173437721408,26.96429269283042 75.78968747923322
26.839380859970706 75.83150630140427,26.925143042107337 75.68574436341497,26.82061989976509 75.76751888326336,,26.95785476013937 75.71795503998847,26.91204812043778 75.80386119005885
26.83006936435761 75.8161750683783,26.838300047375643 75.75772938671321,26.92262081703762 75.87902447037958,,26.89430772039069 75.73854015674885,26.789972050783582 75.83998376537036
26.756015145491418 75.8295444327705,26.91741546973418 75.6600320633634,26.86613607957853 75.71717797866691,,26.78053616298832 75.8588935774838,26.87207394259696 75.89796183346934
26.852237076553987 75.7404002155422,27.001488956091688 75.79634716571564,26.94339902325401 75.78203582214356,,26.819870621619913 75.82469821887253,26.790364838411595 75.79675232477258
26.989643052280222 75.77243729095262,26.874921521335054 75.74333717309536,26.825494437054232 75.90598607982149,,26.99594957507131 75.78436498637498,26.893741683110697 75.87050080703324
27.00442660328323 75.76047589109784,26.936490089747576 75.8128820567863,26.87226661986153 75.69286075057734,,26.906193085722727 75.72013980172804,27.0005123645022 75.79818859533857
26.970217809740134 75.73816699010135,26.885824149606115 75.67859992527599,26.98636162034322 75.80922738609733,,26.86721421619772 75.87222385470615,26.92842633197138 75.71000611596035
26.884524259391007 75.91793721611127,26.781458191890177 75.86372505244888,26.90625501956678 75.67037555110821,,26.914293962002358 75.66497396513701,26.972378521707103 75.73524291290482
26.830108875114608 75.85396391559787,26.88039749990661 75.89385475789248,26.974491091089906 75.79299436753968,,26.92835212505851 75.88616327624736,26.89111941061606 75.67993920245826
26.932462798917733 75.74493332625664,26.977564385360207 75.77817783235388,27.015583953493827 75.76865215106207,,26.84092146324047 75.73253644624084,26.91163943291975 75.7241615435447
26.923504908889175 75.84763448374896,26.810062321709417 75.77935586795623,26.943696336603107 75.71445137610844,,26.83318260416723 75.83815789419532,27.00474994314913 75.77095405090235
27.000699289990578 75.79672254850962,26.77078820820612 75.85509089415837,26.92651869227308 75.77137103429114,,26.848817847295585 75.87046908967612,26.820884666732905 75.75619762436175
26.886052628460426 75.76340611521019,26.956729136588535 75.75036496525122,26.928116204871532 75.72147795853832,,26.836455296345427 75.89137183846584,26.916774965456547 75.82927841242795
26.92373800677857 75.65189543574871,26.91998685347828 75.77284511237227,26.903796427505796 75.85537296736752,,26.84205973509724 75.74036091260437,26.886904453538328 75.8665854576006
26.85750921573285 75.74049556933791,26.889393005195934 75.89629122681727,26.957834881700425 75.80230962833286,,26.851766426999024 75.92414970370422,26.83882325993977 75.8081155951028
26.974020552192332 75.73613348329432,26.86670486094478 75.81258556010499,26.984614467748433 75.82642070079535,,26.952691243751467 75.80817269067201,26.828995143247415 75.78008836429365
26.945175218946012 75.8677809527935,26.959180764169204 75.75818916428902,26.890538284632452 75.7723807569755,,26.96479253881919 75.79167191300196,26.90541957929037 75.70431019909073
26.90103356738261 75.92452938526012,26.85799949972727 75.7120149661072,26.99021975460452 75.75322961005654,,26.974850092242388 75.81351973726768,26.85875372298361 75.85775120992571
26.8858564644668 75.92539625613038,26.957525960175026 75.69534162182129,26.894881527625643 75.73980799802234,,26.82433865417857 75.87663977713407,26.84678860619572 75.9044181588593
26.854039327826513 75.75379747057897,26.85378311722443 75.74413510862668,26.854209615698487 75.77737044022517,,27.013752421722213 75.7681410147662,26.863941845439633 75.80305635088158
26.845598365090105 75.75929354567188,26.926637871616872 75.83125752208109,26.91623183125803 75.8691643774068,,26.94734241318633 75.68499899039885,26.81897958140548 75.87952930931115
26.864753058353717 75.79801613576512,26.828284170863494 75.85705661329237,26.961172603624085 75.80618435344927,,26.926892098334864 75.66843159816639,26.925083287500104 75.89428997120648
26.894049855657943 75.80600158627493,26.787083403289465 75.80422340080523,26.853017229521182 75.73547129507713,,26.856299434064827 75.7518009078599,26.879228900835503 75.72636937769751
26.787330152832574 75.79476664536986,26.812413332450202 75.78305531658718,26.79974157580675 75.83159543429085,,26.879909610216714 75.94042051221712,26.84221364712671 75.88263411147105
26.956123764747023 75.70503084171523,26.87663411114435 75.86074827088648,26.861343613667536 75.81792641443754,,26.949765583165625 75.75276084736909,26.857021232657278 75.77075726552992
26.827463162164687 75.90333512390623,26.92171986006771 75.87214989242285,26.866329147703993 75.73758004055625,,26.813125351877275 75.7969221303082,26.93880186595033 75.85581088188502
26.92748067160903 75.6591483784119,26.860252997174097 75.86173657527625,26.871276604971726 75.88299985913568,,26.865461720112098 75.75805851736656,26.78840525421486 75.85235368858172
,,,,26.93804926296085 75.67143723867582,
26.84175336449616 75.76946975418655,26.83062474978858 75.8094761289791,26.898604541018553 75.80082611805483,,26.79937376393888 75.84262526376708,26.858265110361803 75.78968481924478
26.809573734868135 75.78654051123208,26.871236306127276 75.73786622509425,26.93272980293226 75.83832140406676,,26.879977383612555 75.86440315997062,26.874272255126026 75.74500835967872
26.93102654728624 75.81962497320274,26.78384631742823 75.86161131415885,26.848483601464597 75.73068203415839,,26.864995711795242 75.73633218198347,26.877489039715062 75.76538068005873
26.879376615515362 75.7555399617959,26.94034297174475 75.72830457310478,26.9390888793978 75.83640762383689,,26.844873665095047 75.81961090963173,26.858818820483865 75.92292444971179
26.858148168442337 75.74122931769745,26.77363494878033 75.81439023960384,27.014957496684854 75.78166354799856,,26.841467404903593 75.80575175293824,26.960085253100164 75.84502672888736
26.796735789498474 75.86186712892794,26.908586350634163 75.84500902415084,26.864037249855922 75.84265888957421,,26.92737072060915 75.70898098434522,26.88080408569449 75.76488123872868
26.909046098148718 75.72005332247915,26.854328936243306 75.9052886178647,26.904454813428178 75.79977074366805,,26.9346836344306 75.71643707673911,26.926588225075353 75.71139788118992
26.8205568373424 75.87885469815642,26.79346483676689 75.8142798507981,26.885222147943573 75.7761907640541,,26.947747628293826 75.79989092506675,26.892924542094576 75.79130718678512
26.95893959198606 75.79913856596444,26.924669942837973 75.80087443686763,26.775222345453855 75.81486189905924,,26.971685055778668 75.76066100486204,26.87772525425472 75.76411837367881
26.960550669344396 75.7002008951652,26.92223017679565 75.69400170405561,26.88057728861601 75.92706568505074,,26.94294928875673 75.84349991557033,26.810333113570685 75.77891315351498
26.782145883621585 75.82514028586375,26.891026230925704 75.92183268764327,26.779762212796253 75.86297498642011,,26.996930583796466 75.79175443040789,26.870117185327352 75.86586729698212
26.77658438708944 75.8454849195909,26.93594261653333 75.71614955519856,26.848428156713453 75.75385321091417,,26.873868651960375 75.81581040182658,26.931537256530312 75.83790332467711
26.892723783170492 75.67900793975642,26.942938305516215 75.84754195446648,26.822423191419762 75.82655217875616,,27.001249807997524 75.74985370317019,26.943219246120346 75.7669423449408
26.868766864461435 75.7405770362936,26.878645654805176 75.89789988072616,26.88931345587443 75.68691251543666,,26.89525572405816 75.75432886732615,26.95092426194819 75.70627386506278
