Murder and Assault,Kidnapping and Abduction,Sexual Assault,Theft and Burglary,Riots,Accident Prone Areas
26.787327428502568 75.86885162112111,26.91858249850381 75.65698817178222,26.898136823406688 75.72583213938829,26.970048485959683 75.71458414734234,26.878845280307413 75.89930811415694,26.971940907223804 75.81565149064892
26.797454712307875 75.7913007045037,26.817900719517002 75.86284116529185,26.762206932933225 75.85854968220826,26.829378429238915 75.83409405980044,26.89214755826287 75.69765184998413,26.893904483518735 75.86862281386117
26.944781863336704 75.76606381870079,26.947983226520034 75.8146370128397,26.907128552016605 75.79944831545669,26.890529287171706 75.71799069425398,26.940595268801978 75.8783280978055,26.93741558311219 75.70541719237167
26.825667711882957 75.77400303114574,26.88991935441231 75.83926804312722,26.83197377340684 75.73690480794582,26.978996951863646 75.81633088642108,26.822202171133 75.78364301720727,26.88631974820285 75.9138392782388
26.912972640106055 75.8285506304648,26.780402288693143 75.80755220326841,26.93727715154298 75.72582815280848,26.940339610948904 75.78674547849381,26.883347037339902 75.800695135513,26.950715107939203 75.73533106440178
27.00186355735093 75.76827753467927,26.867862457605387 75.88967053330938,26.9207513009769 75.72614414226584,26.974599076370342 75.76931959226052,26.930918256160044 75.66366746748194,26.938108858360525 75.7138687175445
26.809840762824923 75.76621200481948,26.94192095126922 75.75291371454063,26.90325326844952 75.79546312758022,27.01122684867079 75.77742128830187,26.920703911643223 75.72030743859436,26.98612741107638 75.80136298134036
26.862903032847818 75.88678695982603,26.76577683211201 75.86059549601252,26.849140785957037 75.82820272958546,26.828116561743744 75.76331185874554,26.873867150177283 75.77975673419436,26.926852320140203 75.86608005153298
26.899329507822006 75.76433987868954,26.98505381218984 75.81704138128327,26.891224532792965 75.67732194242033,26.910802765062634 75.70167903337884,26.91208738142214 75.9096665295843,26.847530205613413 75.80662920711343
26.854996568975253 75.85260156097267,26.88127601101314 75.9408936164501,26.976771540222387 75.8156060732769,26.826146785153313 75.87379845915055,26.84618954082012 75.79064887782069,26.845264751962144 75.8405534850971
26.83510295291678 75.74815236419764,26.772090791218634 75.83510142207433,26.8463802305049 75.78105676427317,26.949389032102673 75.75582236954385,27.00112033658243 75.75060819154797,26.90046663652122 75.66956465497616
26.85363702827417 75.76308447764775,26.930957889381176 75.79390982760896,26.91732824236781 75.85865925422016,26.898333266334788 75.82780756190982,26.865723692843712 75.69713282140643,26.86450969119395 75.79425866671347
26.823378067961976 75.79022239934416,26.95307693889865 75.80116849878267,26.80414540076754 75.82611450929699,26.914494822667862 75.78673896432925,26.952073124354293 75.68750383265021,26.890316803339736 75.91855421829683
26.859872651277197 75.78868097126899,26.851378596143697 75.90597945786506,26.82424097438437 75.89214115507765,26.986872248772944 75.73276176589617,26.91110670034524 75.79324988124696,26.905546370524593 75.8037305732295
26.82770123195544 75.75552160373594,26.997025480876108 75.76159706441392,26.854897096725733 75.7173679469585,26.899142757273143 75.77748519156384,26.95443118410006 75.74227599650857,26.91402903595331 75.6545710538948
26.91707487130633 75.66635399058993,26.90904842245245 75.70068160921656,26.820455201889768 75.81830852182257,26.805759820154623 75.80576012266414,26.760678342160297 75.84906548379617,26.88577137820133 75.79657823830662
27.00656149658487 75.78495567816252,26.878131229534223 75.88607919363565,26.82792897380487 75.87308729204305,26.894819708123975 75.76925307425141,26.899156550491757 75.69437081541723,26.94922901145266 75.81712322014806
26.808682954673472 75.83003965127956,26.966641866952827 75.79252819226177,26.908943629380925 75.75376569696702,26.860992037806163 75.75306303249712,26.840983379641795 75.88070848476295,26.801372832027052 75.8052281026348
26.950147580422833 75.80813744823088,26.886866535136917 75.83686127340398,26.874862734497903 75.83108753620465,26.914011086492746 75.81739900724959,26.822162019530275 75.8340750214566,26.907412485726997 75.66641460169534
26.842982972176408 75.91904111414452,26.84122722842617 75.90228775763335,26.79757172376818 75.80243454697867,26.903527873410017 75.76800176728341,26.899271912082963 75.882665652671,26.90532535451302 75.79305074609209
26.90918618087485 75.8819623019218,26.940943048563664 75.79115958154976,26.788977515368238 75.80543682313426,26.923397926831058 75.86036284867768,26.91471266035315 75.72437349874437,26.987740437472812 75.79611078237136
26.918261592012303 75.69914728098647,26.764750273733686 75.8589732135918,26.900026833604528 75.70644622850222,26.939294001945843 75.77092991001126,26.95313357303813 75.76504617572392,26.917950590666422 75.77060098072552
26.805912284603384 75.80500165537502,26.946513994479584 75.70523528126228,26.771425062969104 75.82984469359978,26.798285149470118 75.83360777624738,26.83490992922558 75.75335710462204,26.88155658385378 75.74164881847047
26.926773940101665 75.85550777497896,26.809617583791944 75.87332052591908,26.996250825838896 75.80508014922805,26.87469267107595 75.83151316211818,26.928453063316237 75.79865474799766,26.867864004855843 75.81801561894046
26.943713216477864 75.71676383546894,26.886940529044317 75.9215770274032,26.93878975403797 75.78356769482278,26.831801008721186 75.80679487614795,26.85684250116962 75.86809022685281,26.91226717714533 75.7025001591811
26.896563263529305 75.83854073421523,26.944048727621208 75.82870853811285,26.902210604713364 75.66484263597738,26.772239919680498 75.82995427326514,26.94513867091151 75.72652638553815,26.996212376998905 75.7943915964212
26.753886468252027 75.83791723705328,26.98979710081071 75.7803782551027,26.941129753108033 75.75092360951992,26.94755073368317 75.72529330890768,26.861481483673092 75.86921694849042,26.80242963605314 75.88419990712988
26.89594202021217 75.77099027986928,26.95855821628056 75.83142408198182,26.93690609427945 75.84660266001097,26.914775360893078 75.8738084115822,26.81094298609888 75.81137460513666,26.938632899373605 75.86397949138644
26.902237470911242 75.65721925028308,26.804742348878005 75.82575859667826,26.929667951750545 75.66358745306943,26.8216096385713 75.76430021363825,26.952248625191743 75.85739843285315,27.004504471360804 75.77513679781525
26.87199285490193 75.87530577483555,26.829884014940475 75.7442734932011,26.77280759554895 75.83485070590372,26.80736360115117 75.86031617608069,26.88532842133913 75.73151486189778,26.878468966058524 75.82277689461581
26.771175424398052 75.82451474369154,26.935506445292898 75.72872604701423,26.942223555249512 75.7142182302968,26.84013483684933 75.8381292862777,26.877931648391584 75.93021250475171,26.991021065793493 75.81632825566781
26.932867973050655 75.69721933878037,26.875179321087543 75.84666856836094,26.906689282582626 75.75464165906824,26.862509915730413 75.80819567700948,26.954646962237945 75.69712845270928,26.899374340142142 75.87597948211676
26.977969475382967 75.76251918239643,26.991862613501823 75.80472114232033,26.8437122867696 75.79447485647572,26.899218193487993 75.67718590251782,26.872651647332624 75.86531836402379,26.85135392122953 75.87749632816956
26.942147262506115 75.85785952989677,26.873161893857176 75.87799986619677,26.891060964606524 75.8870218611785,26.860615176532 75.82328114820331,26.903121548315962 75.8593639322754,26.968644314635846 75.83245161663307
26.872965358336188 75.83737519793027,26.88706493390765 75.78452040174932,26.872512521787318 75.82538327871619,26.820579144362235 75.87367222229611,26.940612298548785 75.86702905376127,26.808165537968588 75.87263908993184
26.856551249354624 75.84914769884776,26.85461434031088 75.78333394461406,26.905240965975217 75.74085505701223,26.90076957630221 75.78005607538427,,26.94498494827857 75.71438870785381
26.757532068470663 75.83411508641449,26.76952459149833 75.81796070230463,26.937225254072523 75.6895945791286,26.926666672471566 75.82883971941064,,26.866947498991046 75.77516191248024
26.83415024875046 75.85693240515147,26.959933013565482 75.76978239183363,26.866188327977774 75.88941305433079,26.847114418985672 75.80733408939956,,26.978799595124528 75.79726053735753
26.976431256076935 75.72746519417109,26.95475214602365 75.71774178183914,26.96503687789317 75.72528229550427,26.77619396855715 75.87121121540115,,26.90825393175325 75.8380018071599
26.85995297447779 75.80898083899037,26.845118270246086 75.87677815945517,26.89323576546235 75.71313944105893,26.911176998014305 75.70870187117477,,26.975824921195393 75.8040096340637
26.99262626740284 75.79577245759177,26.939099684290618 75.83730458142928,26.843911814125104 75.74274811143178,26.864104757404455 75.8879908910568,,26.873924063978723 75.71092749250884
26.917179636872756 75.8179242506023,26.950644543801047 75.73877622702722,26.82817206290849 75.80266050297267,26.904080719112223 75.72113498338454,,26.93664270730537 75.77099224239247
26.787054932751893 75.86794018470357,26.83480795396008 75.87462110671817,26.86559663740926 75.88804885406678,26.830663818935832 75.77423033138682,,26.87583440730198 75.73506998196206
26.827250954054083 75.8268442246668,26.900915418368715 75.66199135513551,26.864117219556828 75.77774636875642,26.874499050862322 75.76582263450751,,26.841459046193574 75.78289973862829
26.944973044311304 75.8592953230117,26.805856546764335 75.82933782491034,26.77914575603461 75.86920640598869,26.8753303518811 75.75793516687467,,26.822246455940263 75.86104354001795
26.93542339896626 75.77657098120876,26.962702786595514 75.7921102401461,26.93316701849596 75.87490351970037,26.799636491157504 75.84331545438003,,26.873904179328864 75.93839643190766
26.92612254812459 75.84689371912805,26.899529583260872 75.7355338735738,26.904467244956262 75.79224593586414,26.932518908878063 75.8144708271145,,26.95306924038059 75.81088114997576
26.952999480032286 75.73713861942377,26.87895322142619 75.69445853872159,26.96615918656089 75.82222001111461,26.933783807691626 75.6994763686001,,26.891060128295035 75.93917848203859
26.963490169347562 75.71653270435496,26.96808023706233 75.76939277960162,26.847046677578714 75.82111711284486,26.93772265919878 75.74330248918744,,26.89994622170869 75.81187465955607
26.95510567609548 75.73172336035482,26.82698783521175 75.74290361351767,26.912478271477777 75.83217254347662,26.89795497578351 75.83877540256509,,26.911756324642408 75.86861775004223
26.83999073324599 75.88643294620847,26.896756601099845 75.9323183725814,26.92488526107432 75.83583317582007,26.948066493233018 75.68492153619702,,26.794282619331316 75.86715258706478
26.916927602153052 75.70078141104337,26.846293149754302 75.81036681643778,26.9145661327671 75.6714603103408,26.87627512586771 75.72191236882743,,26.771703942961473 75.8625668878807
26.88593783407049 75.92901241281864,26.872097274973193 75.70513233278945,26.937335851844203 75.72169679704831,26.89153692846786 75.93736328172304,,26.857732392786854 75.90715193288752
26.96656732687642 75.71230434204288,26.917087950564607 75.89020827383452,26.95348774183508 75.77310277465509,26.904230117121852 75.68861824562798,,26.913024288685794 75.68043752586865
26.951488811333572 75.80440857448616,26.88120218270453 75.7605899372294,26.976104734114543 75.81279390122124,26.89566959365736 75.79230399142453,,26.9671202477203 75.76396883124526
26.884296694647713 75.6803045215656,26.791524010752575 75.87773312125118,26.954452482157205 75.8061896827944,26.945813123986486 75.7339864372873,,26.968006404422777 75.84259285946372
26.866003327775946 75.8200264727494,26.972100733605565 75.81871297151825,26.80932549895202 75.84073826881303,26.81963382736884 75.87000687497199,,26.888873902042473 75.75471844831826
26.81589837728699 75.7820187127959,26.891169585532175 75.87817788765827,26.929534065656334 75.88271652648514,26.87563995082293 75.694021749833,,26.877673355988954 75.90014672887705
26.938265753065796 75.72073547247969,26.891207600276125 75.7591457586739,26.872997384681476 75.87147154823585,26.956202417088168 75.74533924610466,,26.8938990878653 75.85258228283449
26.930165087099837 75.72188035330018,26.934205558602716 75.82081091881139,26.82573281296427 75.8125528838421,26.8349828100982 75.79418059807087,,26.809795017635746 75.82960234353996
26.966256643470185 75.76092944328222,26.953563684864715 75.78827138118554,26.85823208679453 75.87712391119733,26.927748795777 75.7012529076506,,26.931228742900352 75.76633854485034
26.99777454698286 75.76925564410712,26.829104407385508 75.90323435367058,26.90721904282793 75.71203581832916,26.939523039875294 75.69160356076861,,26.895025265922346 75.84451544798705
26.981536037314942 75.73064466076072,26.851446213331776 75.88556337329402,26.96884150969172 75.8191086860475,26.965076621227283 75.8025155213771,,26.979384560466347 75.77004943288279
26.96689789541724 75.70764010416377,26.850173114951286 75.83499309404077,26.911405213919434 75.87048257914451,26.795481275523805 75.85773253088337,,26.880915571571148 75.87691524683662
26.938015525111773 75.67747745076167,26.894690337262375 75.91954540145817,26.824735584236198 75.81585790287306,26.808591108934852 75.86399985827241,,26.863352732726433 75.82439241634451
26.92430967996463 75.85686071607019,26.968225460741134 75.71282326924513,26.92811689028127 75.70260911253126,26.915085024186588 75.80997990058194,,26.96284378295361 75.80924275930228
26.965653777949566 75.81209693548824,26.891549974339437 75.83405190032298,26.88121247190718 75.78369456839752,26.874727672936285 75.76737226877766,,26.885811702714687 75.82641454746836
26.951737251174027 75.77462182875213,27.008773840489663 75.76097841886758,26.885020216040107 75.70669938203298,26.87665640968125 75.78402314924516,,26.83566365667784 75.88637097633605
26.984361477259156 75.82647233647901,26.88378299433683 75.92397889112907,26.83849529932434 75.76913681033098,26.947551368112766 75.85000540936441,,26.79574903878897 75.84702122742137
26.896842467860225 75.66127176208214,26.938332178445005 75.81297801359203,26.89801107076183 75.90309980401439,26.928598921771336 75.6867168231151,,26.884539715367765 75.91094263532257
26.920967315074638 75.8868533143432,26.876539328921915 75.74304816042188,26.838528196367935 75.91419454732244,26.88688341573633 75.93040741964704,,26.892927987592103 75.90992853083974
26.958623273846705 75.8407907639471,26.85366354868619 75.78455956184297,26.994949407459934 75.7647247348611,26.87107119616974 75.72974104995156,,26.840688653865296 75.7920267984935
26.972594545585526 75.82907819730849,26.78452549215801 75.84888607940341,26.942279028561817 75.75848615307972,26.872838149917012 75.93200874863047,,26.950515391763517 75.80160565937874
26.942442394518913 75.77267590059165,26.8896988941587 75.87745990563823,26.76507982935281 75.83641166137281,26.897544510333677 75.68892064819447,,26.916989108044067 75.67900602322864
26.910647802495646 75.87042967338175,26.78453199192702 75.85276249886654,26.97544112494745 75.82829082560505,26.837638879268532 75.90539606943213,,26.918248291528688 75.75183723765903
26.838205023551392 75.77882656980562,26.850756708966525 75.79197648728189,26.9178508397766 75.86109591888777,26.944196284060485 75.73710885331612,,26.969629265533847 75.73583514709877
26.827412279880708 75.79582360994387,26.959851820153187 75.8190215281399,26.893173752561488 75.82803638363286,26.809219754165863 75.86811236727567,,26.93586955830351 75.80067693896024
26.898060490733773 75.7031309942622,27.00136310253618 75.76966133670821,26.855896126853846 75.8733054156692,26.76828240217045 75.83311663513533,,26.85787405814006 75.78103488595067
26.854552372995787 75.81557761536979,26.914613557997495 75.88240319404363,26.83877851785899 75.74831874787762,26.87457394234683 75.8170627104218,,26.934010426913087 75.85564581059728
26.921341172638286 75.82200295716193,26.937682682042084 75.83431969629058,26.79682791518461 75.79529791143025,26.978507724106173 75.78304799331082,,26.849800851427272 75.83436542929815
26.92647158288632 75.75029715956458,26.918814869052415 75.8554177428251,26.888402347882263 75.78562452962304,26.831686946622057 75.77480887051522,,26.831392081500763 75.82778631554514
26.8309911501277 75.83857530551386,26.83626159075802 75.82194870361073,26.859729266072748 75.7370560145073,26.892642012312 75.89378661798288,,26.842060636467767 75.77415647857082
26.959845510236303 75.77436854608732,26.858279186567707 75.70967155788135,26.918126758191264 75.70942654103466,26.932975576609373 75.87903919224232,,26.961034735044862 75.73200935260336
26.953323713643808 75.68891040550355,26.910263572888063 75.66542172169322,26.924629683002692 75.8062871358404,26.913761499759286 75.71049765503172,,26.81958272835715 75.81441513329519
26.950980696571516 75.74064648286439,26.866703281181415 75.92785129241753,26.773693677187207 75.85209929347113,26.8017144558617 75.86077174331943,,26.809446324003016 75.82494074979961
26.873968349350786 75.89879814954767,26.858953832076782 75.92728014660523,26.880280555768206 75.80547012560884,26.815919010315614 75.7803136866633,,26.93195302419681 75.76586669395084
26.8864802630639 75.81288882810776,26.80630404216635 75.87479428272162,26.90084843797628 75.69678597474802,26.850345257693707 75.82928891469126,,26.79700455193276 75.8037053255259
26.976528088013268 75.73300357826162,26.91849144962421 75.7268563035352,26.936688784184344 75.75281370090619,26.875415336677587 75.72721823134648,,26.806098087986097 75.86197049789236
26.882419725778323 75.87999405735455,26.871185799005758 75.88894054707048,26.888758082538473 75.76720496564073,26.90174898451103 75.92332525824564,,26.928957722591356 75.77524531686795
26.840408073974636 75.91138380173066,26.92937788813841 75.8384705111675,26.91689522661057 75.8280806303823,26.955819017173162 75.7142989237046,,26.822423083134765 75.84755201235149
26.959871998124292 75.7297742859967,26.914016248349242 75.82862974692004,26.858730059320266 75.9137988832632,26.8318662523977 75.86632853817075,,26.784134312752045 75.85349380953163
26.818669947813213 75.75824356856124,26.883833640593295 75.93922076943431,26.80274431295664 75.8157599645653,26.85755476883314 75.82932340355231,,26.9005245039269 75.68696692161751
26.941654545045658 75.84156530524197,26.800811547615222 75.83386831747715,26.783851258272843 75.82692067076545,26.924469189565663 75.84854013592539,,26.85353247515204 75.84961410384795
26.973667333860757 75.71931282902551,26.799362236819725 75.86307901796776,26.902035471631837 75.71917277103292,26.843658316293027 75.8472732362284,,26.940706078616536 75.73007945693246
26.879730160531068 75.77418212060392,26.884850351913933 75.92226897103286,26.850115653794973 75.83714047386403,26.93786561201758 75.73298659598154,,26.86932071668185 75.84085320540598
26.866062552262512 75.73103871500831,26.997153236404746 75.78312998896116,26.802953569798863 75.80991705749689,26.819804789642177 75.81239921688913,,26.842196880011873 75.87530255530913
26.87156031126843 75.8484464289473,26.953058673929633 75.80783961601588,26.975284070079557 75.77867918142584,26.925672246019772 75.73883735608352,,26.79655880422758 75.85011056393543
26.917882594926358 75.88168286825531,26.80079564570845 75.79904372752115,26.88972035112447 75.76064037697279,26.881248183044793 75.80861999536086,,26.933889280081406 75.79294797793186
26.897989821145757 75.80882968378609,26.93089415958074 75.87273546938415,26.906765280731893 75.86083573533605,26.837724599343925 75.90523230656977,,26.79563101488346 75.88235883174535
26.924671315525874 75.89663891566295,26.864690024501733 75.70828146935979,26.9505380536612 75.78118754467162,26.827550943779602 75.7922624585154,,26.906044379095164 75.76208443551236
26.927176514340808 75.83089268216759,26.942028743861687 75.67748039047397,26.922708720074482 75.8807109327292,26.843512983816264 75.75305930333758,,26.799240050172077 75.80105066110617
26.809650081982664 75.81275451263687,26.88067169953196 75.77985754719231,26.864525375115985 75.72702041385206,26.82650604810348 75.74453346550808,,26.927302617473156 75.83144644920108
26.789508876485346 75.80404412941371,26.979223449593874 75.77796657625802,26.901970741512937 75.69794879944305,26.77969788323105 75.87313080936603,,26.95583048211355 75.75449843039841
26.86332615724082 75.78992989806392,26.854699718919896 75.91702286351082,26.87415211736752 75.83915016305423,26.975225601752708 75.76111452177547,,26.97462966422664 75.7160420756547
26.91627084711783 75.8112973796291,26.759232172258343 75.8498831934492,26.93712138207647 75.7605188903142,26.908961669808402 75.86689749708356,,26.85758250332504 75.85683369550556
26.840577955584752 75.74841309917991,26.958058312603914 75.71035693661065,26.93429258742695 75.6701607762346,26.800697348739593 75.7764358585269,,26.831475303829485 75.79867243330693
26.8927902858171 75.81641971429116,26.839140071877562 75.77441874727525,26.971652303243694 75.82040336668602,26.898404212806163 75.70433335491141,,26.828408970242435 75.85235346205396
26.89971741045107 75.87672367692574,26.95218333737977 75.80184530081112,26.912874503798616 75.9008022400731,26.830579220291224 75.83460588991899,,27.001182552020907 75.78798806358394
26.903330268707762 75.69749141727186,26.91501139126488 75.76685732148495,26.972528286064794 75.77135128408841,26.760792500581008 75.83335524050497,,26.80996181100559 75.76919974795682
26.89630089949541 75.93227645371793,26.83849090656726 75.7631740245729,26.92481447679418 75.84900042639676,26.965801049486068 75.80235752599603,,26.875102091199217 75.92959041625741
26.852701271384603 75.81935549873312,26.880186498422606 75.82994149836325,26.86035747066853 75.71824838647608,26.858123494825488 75.76865883377069,,26.893693526508976 75.79241546775029
26.93575545830489 75.69448674128603,26.874020316461813 75.69716601937009,26.965539165335894 75.7639512000056,26.884522863358743 75.75755162886632,,26.857997353595657 75.80591394890308
26.880005767430884 75.89750055260895,26.782073029008266 75.87258504894768,26.83181981233439 75.80765918031813,26.854876563890834 75.76304979047696,,26.787988087607644 75.8083768608952
26.93033250352096 75.70473573889004,26.917238910337492 75.64694973598648,26.80964325431911 75.80769673353905,26.936558841556824 75.68015896051348,,26.98473946981839 75.76068052558416
26.883987213349098 75.81828893675109,26.85400698794978 75.90054503817274,26.88129705759314 75.84077165438443,26.81320967569664 75.81338263257027,,26.959497745096726 75.73595721437422
26.810042828174375 75.77480691215995,26.851825590001788 75.75617081031103,26.88290736479753 75.83263055341654,26.91310175841577 75.77718171335566,,26.875808197431194 75.72105510881703
26.895153547304567 75.87348330324136,26.861812136358203 75.74260425937128,26.871384268828482 75.91286815545782,26.815114577083357 75.85030418922753,,26.92484646253317 75.65271942541906
26.797001731167725 75.84079673238428,26.815804516116646 75.83162699302763,26.9959107346214 75.77597702864112,26.83008163186044 75.86895105219375,,26.88984928038158 75.67441040117109
26.798721368310805 75.7958008201167,26.883751791109873 75.9388340258253,26.91188069771052 75.77404156673454,26.892045977452252 75.88309469994638,,26.880301735658573 75.7442940720312
26.918550766400593 75.9059383238974,26.87764900361943 75.82063285065819,26.821349650404606 75.78636988442415,26.849568702828254 75.83371703480643,,26.897760074153002 75.80037974140879
26.938238881934765 75.75797431884288,26.94374977857414 75.86788556260079,26.830004422511106 75.77613967702783,26.812940981913027 75.76238691699209,,26.82750499718339 75.78725579240886
26.881654291508955 75.68635727559874,26.972759306203073 75.73386312394668,26.8877505828907 75.81460600365101,26.89597845900027 75.89229315573928,,26.96033159885366 75.81901099472142
26.81781934996044 75.83803619398888,26.960739218041937 75.73371263869736,26.94622804955999 75.8508308207986,26.763405959139625 75.85153982116007,,26.91403458063799 75.83008949359021
26.987353044764365 75.7426884988922,26.824685544035717 75.76900127767342,26.919474576767595 75.84796289314205,27.01191635402804 75.78531037587211,,26.801171653557216 75.77544006932956
26.97567751016914 75.78187649249084,26.913410331511326 75.81731681026471,26.94070175200867 75.83005750018512,26.843766388978718 75.80679093975154,,26.927108476099196 75.70981852172815
26.822449010495568 75.8308951192879,26.76484972696712 75.81842704665779,26.87163718850337 75.77510938085919,26.91391464899409 75.83584866159738,,26.773400945524216 75.83368904757596
26.808565037348263 75.84045945221497,26.966598299464824 75.80048283216665,26.801441925848675 75.79441947441782,26.858038613242332 75.7895837666042,,26.886680667225477 75.80965440355008
26.845134134672133 75.72305108208116,26.951316097031285 75.70682176076136,26.85467313355249 75.78307386698485,26.94908544293302 75.8179927265912,,26.777446801407184 75.84445978452484
26.89142991303727 75.6726838110381,26.831966666611137 75.75256850626602,26.846574081263334 75.86132690122892,26.947856238978837 75.84992415581704,,26.890976102947945 75.7557146704257
26.891319786876302 75.81043302079388,26.892311890451317 75.86146454423708,26.92017337255801 75.65293881547525,26.89414806569641 75.91512933545563,,26.90057371096904 75.72444268730301
26.883087156682322 75.71187115498651,26.895989036728327 75.92964803004834,26.89757228125796 75.73179002543539,26.88937915023714 75.93028763612568,,26.89533937219982 75.90316753879613
26.84231643655906 75.8644426526491,26.851779880827852 75.81157291509449,26.923588682552992 75.65814093199974,26.80955743498771 75.87465292033912,,26.83279182337985 75.87595180741769
26.93723716774909 75.88327702935659,26.92738581026163 75.69445852105193,26.835603302251645 75.76803312132324,26.93040098827896 75.76238108015697,,26.901693518114158 75.8014345924319
26.851247976594927 75.80260001606666,26.895196640881174 75.90346438633297,26.809619595716363 75.85840206558788,26.949409238087437 75.7569917457274,,26.910647997641185 75.69855767505418
26.830564354891262 75.88923772846711,26.98431892326038 75.77416584626648,26.896932803117796 75.90651410939178,26.882662549073864 75.79382384577421,,26.926022962539047 75.8342654976631
26.92704949919178 75.73770546150314,26.872215185738593 75.76069043780383,26.86674596900724 75.76178119614097,26.91687806281746 75.71333025140912,,26.91816087088979 75.67021840707936
26.781144019833075 75.84042257644296,26.962378011167598 75.70496073870078,26.896006220691554 75.91033965999188,26.956520124225015 75.7175727997615,,26.877501744816875 75.9366811328016
26.885734335535574 75.89144217160873,26.78677258725185 75.8739187459347,26.884464687134038 75.89763241546146,26.909139901225906 75.91744465207611,,26.810052193963244 75.88468826586072
26.929089999125374 75.85734089540058,26.90898626220118 75.64723394231596,26.890142051008077 75.84019076937754,26.814462258512833 75.77203767588209,,26.965858170887472 75.77143460457003
26.93876327020406 75.82978229889885,26.94120930753338 75.84984039075476,26.854267459676752 75.73188659082479,26.790517440824384 75.82316497135457,,26.862848131185018 75.74599881483617
26.906671323585176 75.77410785314225,26.880306620464193 75.75717877604885,26.901762105731166 75.81531666242812,26.90921352317112 75.69962891297642,,26.848741385586862 75.72902509048825
